Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
177544821091066, 177544821091992, 177544821205010, 177544821222713, 177544821285435, 177544856358918, 8192
177544856545917, 177544856546898, 177544856576676, 177544856589898, 177544856656583, 177544888646107, 8191
177545634658607, 177545634661218, 177545634855309, 177545634918216, 177545635060511, 177545655785748, 8192
177546458189222, 177546458191481, 177546458397868, 177546458458257, 177546458584274, 177546500484170, 8191
177547274179077, 177547274181022, 177547274357335, 177547274402279, 177547274527482, 177547301368174, 8192
177548094156885, 177548094158940, 177548094335457, 177548094394457, 177548094497697, 177548119204775, 8191
177548909556207, 177548909556929, 177548909648577, 177548909668558, 177548909714224, 177548929778873, 8192
177549736240076, 177549736242391, 177549736427630, 177549736486222, 177549736586999, 177549763228970, 8191
177550549342804, 177550549344785, 177550549522043, 177550549581006, 177550549680653, 177550570167428, 8192
177552187618966, 177552187621225, 177552187812057, 177552187869872, 177552187959019, 177552209059345, 8192
177552209247066, 177552209249159, 177552209306325, 177552209347325, 177552209460009, 177552234186327, 8191
177553006792519, 177553006794667, 177553006959444, 177553007016202, 177553007113683, 177553027846290, 8192
177553825919516, 177553825921331, 177553826083793, 177553826138848, 177553826235699, 177553850822370, 8191
177554645106458, 177554645108365, 177554645280864, 177554645338549, 177554645439363, 177554665945619, 8192
177555464191881, 177555464193863, 177555464376546, 177555464434916, 177555464533990, 177555489069180, 8191
177556281938462, 177556281939055, 177556282030906, 177556282051369, 177556282090646, 177556301970944, 8192
177557102452541, 177557102454634, 177557102628577, 177557102687539, 177557102786057, 177557127312432, 8191
177557921682815, 177557921684778, 177557921858147, 177557921916461, 177557922020312, 177557942687049, 8192
177558740854218, 177558740856329, 177558741032402, 177558741091105, 177558741194919, 177558765830664, 8191
177559559949011, 177559559951029, 177559560152861, 177559560211990, 177559560310452, 177559580916486, 8192
177560377646424, 177560377647147, 177560377741887, 177560377762164, 177560377806219, 177560402026153, 8191
177561196842975, 177561196843697, 177561196935900, 177561196955826, 177561197002289, 177561216856846, 8192
177562017416756, 177562017418941, 177562017593625, 177562017653551, 177562017751754, 177562042361517, 8191
177562836595510, 177562836597455, 177562836773750, 177562836832583, 177562836935100, 177562857556652, 8192
177563655706320, 177563655708246, 177563655874578, 177563655934022, 177563656235890, 177563680611952, 8191
177564474861685, 177564474863648, 177564475039665, 177564475099221, 177564475198016, 177564495858846, 8192
177565294380103, 177565294382121, 177565294552713, 177565294611583, 177565294713452, 177565319248309, 8191
177566113199933, 177566113201896, 177566113376265, 177566113434376, 177566113533968, 177566133787967, 8192
177566932325890, 177566932328186, 177566932496796, 177566932553833, 177566932651647, 177566956488287, 8191
177567751462958, 177567751464921, 177567751636198, 177567751695882, 177567751792456, 177567772368879, 8192
177568569135870, 177568569136463, 177568569225684, 177568569245332, 177568569284110, 177568593627042, 8191
177569388413678, 177569388414400, 177569388515306, 177569388535640, 177569388578028, 177569408497419, 8192
177570207473634, 177570207474338, 177570207574004, 177570207594171, 177570207635837, 177570231829992, 8191
177571028092376, 177571028094524, 177571028270152, 177571028328670, 177571028424225, 177571049125462, 8192
177571847162777, 177571847164684, 177571847343979, 177571847402997, 177571847498589, 177571872114075, 8191
177572666358676, 177572666360639, 177572666539416, 177572666599564, 177572666695692, 177572687429521, 8192
177573485558076, 177573485560094, 177573485736852, 177573485796537, 177573485891351, 177573510538540, 8191
177574303247431, 177574303248153, 177574303343615, 177574303363745, 177574303405522, 177574323129618, 8192
177575122351016, 177575122351719, 177575122452756, 177575122472793, 177575122513329, 177575146682837, 8191
177575941540192, 177575941540915, 177575941640470, 177575941660747, 177575941701302, 177575961736322, 8192
177576762082322, 177576762084304, 177576762262913, 177576762322765, 177576762419542, 177576786289385, 8191
177577581421775, 177577581423701, 177577581602514, 177577581661662, 177577581758958, 177577602318695, 8192
177578400490045, 177578400492026, 177578400668488, 177578400726413, 177578400824301, 177578425423472, 8191
177579219576110, 177579219578110, 177579219755202, 177579219815442, 177579219910274, 177579240540215, 8192
177580037252019, 177580037252853, 177580037356111, 177580037376278, 177580037418425, 177580061574433, 8191
177580856458713, 177580856459417, 177580856557898, 177580856577786, 177580856620656, 177580876654102, 8192
177581675562093, 177581675563074, 177581675659685, 177581675679796, 177581675718703, 177581699875432, 8191
177582496275183, 177582496277127, 177582496456200, 177582496514848, 177582496615921, 177582517006641, 8192
177583315357470, 177583315359507, 177583315515209, 177583315574283, 177583315668023, 177583340240120, 8191
177584134473256, 177584134475237, 177584134649810, 177584134709458, 177584134805587, 177584155269047, 8192
177584953643968, 177584953645931, 177584953801041, 177584953857873, 177584953955558, 177584978510988, 8191
177585771343505, 177585771344208, 177585771440948, 177585771461171, 177585771503485, 177585791404413, 8192
177586590445550, 177586590446291, 177586590537531, 177586590557345, 177586590599049, 177586614809352, 8191
177587411057380, 177587411059380, 177587411235416, 177587411295175, 177587411389396, 177587431916838, 8192
177588234128544, 177588234130525, 177588234306209, 177588234366783, 177588234465578, 177588258967231, 8191
