Inicio, Continuar,  Num_Muestras, Ampliacion_Array, Recepcion, Convolucion, Historial, Devolucion
530241820708806, 530241829662647, 530241829679555, 530241829730573, 530241830389195, 530241851734782, 530241851742523, 530241852264035
530241852272646, 530241853378615, 530241853556298, 530241853563168, 530241853590557, 530241863541775, 530241863548072, 530241863758495
530241863763903, 530241864227138, 530241864354229, 530241864357618, 530241864388766, 530241874188153, 530241874195930, 530241874502538
530241874520501, 530241875129568, 530241875254807, 530241875259492, 530241875291640, 530241885260525, 530241885274395, 530241885581558
530241885594410, 530241889051389, 530241889063315, 530241889064759, 530241889097518, 530241899043477, 530241899052162, 530241899195087
530241899202142, 530241899587860, 530241899621452, 530241899624119, 530241899690933, 530241909471820, 530241909476894, 530241909639818
530241909651151, 530241910013351, 530241910044425, 530241910047832, 530241910111257, 530241919938588, 530241919945533, 530241920133234
530241920149123, 530241920528822, 530241920565618, 530241920568452, 530241920633062, 530241930414449, 530241930419097, 530241930564133
530241930577058, 530241930965184, 530241931002368, 530241931004961, 530241931073053, 530241940953550, 530241940965235, 530241941158103
530241941172325, 530241944989300, 530241945001874, 530241945003818, 530241945080280, 530241955171664, 530241955176479, 530241955314662
530241955329273, 530241955577455, 530241955608899, 530241955612011, 530241955678602, 530241965466304, 530241965473434, 530241965617303
530241965629877, 530241965881151, 530241965917207, 530241965919781, 530241965985743, 530241975829759, 530241975833889, 530241975965498
530241975981257, 530241976270939, 530241976303328, 530241976305365, 530241976374475, 530241986213158, 530241986220047, 530241986347416
530241986354638, 530241986561043, 530241986591616, 530241986593820, 530241986651394, 530241996805147, 530241996811239, 530241996940423
530241996949442, 530241997106792, 530241997133384, 530241997135476, 530241997196309, 530242006935104, 530242006940530, 530242007076584
530242007084899, 530242007254860, 530242007285193, 530242007288915, 530242007351766, 530242029702268, 530242029711508, 530242029872932
530242029879321, 530242030058838, 530242030094041, 530242030097411, 530242030174892, 530242039923057, 530242039928539, 530242040080815
530242040093963, 530242040267590, 530242040297831, 530242040300257, 530242040369219, 530242050290271, 530242050297086, 530242050440343
530242050451047, 530242050598953, 530242050628971, 530242050630860, 530242050688544, 530242060470024, 530242060475061, 530242060591967
530242060602430, 530242060743095, 530242060770428, 530242060772391, 530242060835446, 530242070576519, 530242070579741, 530242070652536
530242070657425, 530242070771739, 530242070792961, 530242070794998, 530242070851275, 530242080600348, 530242080604255, 530242080725606
530242080736161, 530242080870159, 530242080901622, 530242080904029, 530242080963214, 530242091354613, 530242091363779, 530242091560314
530242091570499, 530242092136678, 530242092234214, 530242092240602, 530242092396915, 530242102155544, 530242102158933, 530242102283931
530242102295431, 530242102434281, 530242102463485, 530242102465318, 530242102524039, 530242112722070, 530242112726070, 530242112844550
