muestras, tiempo(ns)
16383, 22958383
8192, 10671081
8191, 10629896
8192, 10916893
8191, 10556101
8192, 10279437
8191, 10372899
8192, 10256326
8191, 10381491
8192, 10575934
8191, 10181272
8192, 10249530
8191, 10209771
8192, 10485583
8191, 10085384
8192, 22750849
8191, 10147957
8192, 10298363
8191, 10101272
8192, 10005107
8191, 10048810
8192, 10856005
8191, 10485583
8192, 10512712
8191, 10076198
8192, 10112847
8191, 10061384
8192, 9990978
8191, 10068477
8192, 10334381
8191, 10582156
8192, 10010569
8191, 9975366
8192, 9972329
8191, 9961552
8192, 9945645
8191, 9964774
8192, 10303751
8191, 9961533
8192, 9944459
8191, 10015625
8192, 10289048
8191, 9957571
8192, 10449435
8191, 10472491
8192, 9948275
8191, 10183697
8192, 10437269
8191, 10398177
8192, 10038106
8191, 9954126
8192, 10591341
8191, 10236530
8192, 10194549
8191, 10207493
8192, 10627063
8191, 10188013
8192, 10340122
8191, 10198383
8192, 10237159
8191, 10323714
8192, 18736192
8191, 18730784
8192, 10997984
8191, 10740820
8192, 10327806
8191, 10921578
8192, 11022281
8191, 10145994
8192, 10308270
8191, 11021984
8192, 11134075
8191, 10160587
8192, 10626767
8191, 10265178
8192, 10124180
8191, 10194864
8192, 10704581
8191, 10498712
8192, 10416750
8191, 10435787
8192, 10593748
8191, 10062180
8192, 10090606
8191, 10050014
8192, 9959218
8191, 10029717
8192, 10056773
8191, 10102013
8192, 10047958
8191, 10715006
8192, 10320529
8191, 10062347
8192, 9971737
8191, 10044754
8192, 9956144
8191, 9957274
8192, 9922886
8191, 10378677
8192, 10052661
8191, 10091550
8192, 9979108
8191, 9916053
8192, 9914089
8191, 9901571
8192, 10375454
8191, 9947830
8192, 9940719
8191, 9941867
8192, 10386158
8191, 9943441
8192, 10055291
8191, 10141606
8192, 9979903
8191, 9916756
8192, 9916774
8191, 9905720
8192, 9901849
8191, 9892923
8192, 10664155
8191, 10215401
8192, 9944404
8191, 9903053
8192, 10369696
8191, 10045403
8192, 9954570
8191, 9911404
8192, 9897479
8191, 9921108
8192, 9940627
8191, 10148346
8192, 10064347
8191, 10015570
8192, 9949422
8191, 9910793
8192, 9893404
8191, 10047828
8192, 18006108
8191, 10197012
8192, 10204142
8191, 10102939
8192, 10089309
8191, 10069977
8192, 10093236
8191, 9986459
8192, 9923108
8191, 9903164
8192, 9899312
8191, 27757809
8192, 30415650
8191, 29955173
8192, 30121005
8191, 30008895
8192, 30007913
8191, 30057746
8192, 29875101
8191, 30326688
8192, 31323176
8191, 31705338
8192, 30264392
8191, 31391194
8192, 29830527
8191, 29762008
8192, 31128827
8191, 29873563
8192, 29874378
8191, 29746713
8192, 29897063
8191, 29924581
8192, 29790175
8191, 30127152
8192, 31305287
8191, 29934155
8192, 29742768
8191, 31246103
8192, 29786953
8191, 30086505
8192, 29770694
8191, 29806527
8192, 29762620
8191, 30459334
8192, 30237226
8191, 30673739
8192, 29715768
8191, 30055339
8192, 29807637
8191, 29680047
8192, 29721324
8191, 31005513
8192, 29757435
8191, 29675158
8192, 29759453
8191, 29909952
8192, 29770990
8191, 30204819
8192, 31471396
8191, 31678375
8192, 29922044
8191, 31586155
8192, 29692454
8191, 30352780
8192, 29774027
8191, 31114197
8192, 29692546
8191, 29851415
8192, 29782157
