muestras, tiempo(ns)
16383, 28041866
16383, 14961571
8192, 7005568
8191, 7908318
16383, 12580302
16383, 11878014
8192, 19364095
8191, 7912466
8192, 7880707
8191, 7885725
8192, 7959372
8191, 7915336
8192, 7926836
8191, 8763605
8192, 23123979
8191, 6074320
8192, 5637603
8191, 5545789
8192, 15405269
8191, 9275969
8192, 5571252
8191, 5494642
8192, 7805930
8191, 5526585
8192, 5938043
8191, 7737227
8192, 5558603
8191, 8235925
8192, 6478612
8191, 11630017
8192, 10596305
8191, 7145604
8192, 7803764
8191, 6324372
8192, 5389772
8191, 5389661
8192, 5701528
8191, 5505586
8192, 5467568
8191, 5458975
8192, 5365605
8191, 5703102
8192, 5444938
8191, 5403624
8192, 6099375
8191, 5963284
8192, 5427587
8191, 5484401
8192, 5462086
8191, 5381531
8192, 5486419
8191, 5394939
8192, 5558918
8191, 5384291
8192, 5333791
8191, 5525567
8192, 9889758
8191, 6276225
8192, 5848915
8191, 5377198
8192, 5445827
8191, 5673750
8192, 5394864
8191, 5711195
8192, 5967432
8191, 5375069
8192, 5294070
8191, 5433568
8192, 5363939
8191, 5304736
8192, 5407717
8191, 5358532
8192, 5297088
8191, 5408790
8192, 5343421
8191, 5282866
8192, 5382235
8191, 5380198
8192, 5399050
8191, 5491474
8192, 5387180
8191, 5392272
8192, 5471605
8191, 5878063
8192, 5711324
8191, 5484697
8192, 5375995
8191, 5355439
8192, 5390865
8191, 5341383
8192, 5623917
8191, 5633807
8192, 5341606
8191, 5286255
8192, 5362939
8191, 5388587
8192, 5921155
8191, 5421364
8192, 5596621
8191, 5592621
8192, 5429827
8191, 5388106
8192, 5636529
8191, 6348057
8192, 5379198
8191, 5350624
8192, 5652843
8191, 6210040
8192, 5747139
8191, 9200636
8192, 7768968
8191, 7949392
8192, 7236066
8191, 8680475
8192, 7905170
8191, 5511271
8192, 5876507
8191, 10873672
8192, 6193022
8191, 7048754
8192, 8161518
8191, 5864674
8192, 5809453
8191, 8337461
8192, 6779793
8191, 6311077
8192, 14327855
8191, 8763122
8192, 7727801
8191, 7160641
8192, 5574030
8191, 11229002
8192, 5565048
8191, 5731620
8192, 5792546
8191, 5655861
8192, 7633672
8191, 9403708
8192, 5569048
8191, 5927970
8192, 7813207
8191, 5439734
8192, 5465271
8191, 7648061
8192, 5468382
8191, 8184333
8192, 5974488
8191, 10093145
8192, 12026697
8191, 5932303
8192, 9324320
8191, 14323893
8192, 6116005
8191, 5758065
8192, 8574181
8191, 5496511
8192, 5489864
8191, 7841985
8192, 6360891
8191, 6133283
8192, 7678024
8191, 8987638
8192, 5618270
8191, 10321475
8192, 7461879
8191, 5479790
8192, 5288384
8191, 7405842
8192, 5306884
8191, 7565470
8192, 5528012
8191, 5299421
8192, 5723343
8191, 5524918
8192, 5259922
8191, 5808063
8192, 5572862
8191, 5308421
8192, 5418365
8191, 5452827
8192, 5462308
8191, 5946100
8192, 5651528
8191, 5291866
8192, 5738009
8191, 5470512
8192, 5274810
8191, 5600362
8192, 5303829
8191, 5260514
8192, 5432309
8191, 5507937
8192, 5301718
8191, 5416068
8192, 5595417
8191, 5573881
8192, 5613269
8191, 5922933
8192, 5591678
8191, 5469679
8192, 5295328
8191, 5507438
8192, 5631510
8191, 5599029
8192, 6003098
8191, 6226929
8192, 5586177
8191, 5591474
8192, 6113579
8191, 5602084
8192, 5710269
8191, 5942191
8192, 6158134
8191, 5494845
8192, 5606362
8191, 5289866
8192, 5574529
8191, 5510271
8192, 5462956
8191, 5388198
8192, 5403216
8191, 5462364
8192, 5322662
8191, 5333865
8192, 5424938
8191, 5636862
8192, 5543752
8191, 5371994
8192, 5390716
8191, 5473641
8192, 5441402
8191, 5564289
8192, 5621844
8191, 5816138
8192, 5707306
8191, 5519067
8192, 5611269
8191, 6003858
8192, 5635955
8191, 5502678
8192, 5570122
8191, 6117227
8192, 5763009
8191, 5908415
8192, 5591640
8191, 5486511
8192, 5954840
8191, 5588177
8192, 5432271
8191, 5505605
8192, 5494956
8191, 5848267
8192, 5557696
8191, 5419050
8192, 5412383
8191, 5461642
8192, 5388291
8191, 5449901
8192, 5683140
8191, 5700028
8192, 5465271
8191, 5422198
8192, 5550641
8191, 5508234
8192, 5409623
8191, 5402050
8192, 5690176
8191, 5336199
8192, 6083301
8191, 6080894
8192, 5615288
8191, 6297317
8192, 5978210
8191, 5373587
8192, 6162153
8191, 5712713
8192, 5611159
8191, 5871711
8192, 5649251
8191, 5580363
8192, 5472678
8191, 5742602
8192, 5496030
8191, 5539104
8192, 5301199
8191, 5351032
8192, 5571159
8191, 5503864
8192, 5724305
8191, 5634751
8192, 5421586
8191, 5607251
8192, 5480549
8191, 5429197
8192, 5611603
8191, 5558881
8192, 5557825
8191, 5767324
8192, 5418161
8191, 5284440
8192, 5722231
8191, 5504679
8192, 5805490
8191, 5978414
8192, 5793767
8191, 5650103
8192, 5954470
8191, 5593158
8192, 5859767
8191, 5570177
8192, 5813730
8191, 5762397
8192, 6239762
8191, 5716176
8192, 5959229
8191, 5591696
8192, 5717694
8191, 10289457
8192, 5444494
8191, 6042802
8192, 5513456
8191, 5452216
8192, 5559048
8192, 5607177
8191, 5558141
8192, 5569529
8191, 5595621
8192, 5455531
8191, 5690046
8192, 5598733
8191, 5420753
8192, 5581011
8192, 5603714
8191, 5605974
8192, 5574973
8191, 5501308
8192, 5538400
8191, 5691713
8192, 5529993
8191, 5474179
8192, 6139504
8191, 5872174
8192, 8343813
8191, 5422087
8192, 5434290
8191, 5988561
8192, 5463845
8191, 5484234
8192, 5659492
8191, 5395513
8192, 5680991
8191, 5526067
8192, 5503548
8191, 5706676
8192, 5535623
8191, 5499474
8192, 5626714
8192, 5458327
8191, 5485567
8192, 5909711
8191, 5767693
8192, 5984673
8191, 10138755
8192, 15505750
8191, 7668783
8192, 16715255
8191, 21337498
8192, 22642465
8191, 19172894
8192, 26300072
8191, 22041713
8192, 22500226
8191, 30986018
8192, 22250007
8191, 21121427
8192, 18209182
8191, 19208893
8192, 18581011
8191, 18042147
8192, 18184126
8191, 17915630
8192, 18118961
8191, 17596967
8192, 18182442
8191, 17661818
8192, 18099516
8191, 17733799
8192, 17747483
8191, 18105498
8192, 18836990
8191, 17651818
8192, 17914908
8191, 17702021
8192, 18333477
8191, 20807394
8192, 18406828
8191, 18156682
8192, 18477865
8191, 17692744
8192, 19107894
8191, 18607344
8192, 18421069
8191, 17682873
8192, 17675373
8191, 18393365
8192, 18193738
8191, 18192460
8192, 18867063
8191, 18206201
8192, 17854390
8191, 17666522
8192, 17622614
8191, 18195534
8192, 19183375
8191, 17696521
8192, 18392625
8191, 17691206
8192, 17579986
8191, 17447820
8192, 18212682
8191, 17438488
8192, 16044966
8191, 15633396
8192, 15772192
8191, 16743736
8192, 15781284
8191, 16744606
8192, 15855579
8191, 15970855
8192, 16866327
8191, 16409202
8192, 16080132
8191, 16088187
8192, 25231158
8191, 18140053
8192, 17784150
8191, 21859511
8192, 42668608
8191, 34495330
8192, 35856630
8191, 19865108
8192, 17247212
8191, 18596011
8192, 27954350
8191, 35911518
8192, 43736855
8191, 40095600
8192, 39577273
8191, 35878593
8192, 31884712
8191, 32164246
8192, 39746549
8191, 31848194
8192, 39822937
8191, 39877659
8192, 39972176
8191, 31830157
8192, 39920472
8191, 33082087
8192, 34770216
8191, 31917471
8192, 31721195
8191, 31899971
8192, 31912786
8191, 31925600
8192, 39963102
8191, 31870120
8192, 31865990
8191, 35945648
8192, 35917073
8191, 39846214
8192, 34710717
8191, 33112698
8192, 31912952
8191, 31914286
8192, 39916510
8191, 31912896
8192, 31900694
8191, 31843398
8192, 39942435
8191, 31948359
8192, 31841175
8191, 31885916
8192, 31921749
8191, 31904564
8192, 39884269
8191, 35911481
8192, 31876879
8191, 31906545
8192, 31945081
8191, 31425255
8192, 15691877
8191, 15599878
8192, 15578453
