muestras, tiempo(ns)
8192, 1931517
8191, 6243639
8192, 1670150
8192, 1564502
8191, 1643260
16383, 3640295
16383, 2959284
8192, 1540262
16383, 2893544
8192, 1536706
16383, 2843767
8192, 1477577
8191, 1380023
8192, 5092021
8191, 2860988
8192, 1803518
8192, 1587595
8191, 1746075
16383, 3036950
16383, 2940080
8192, 1577280
8191, 1460040
8192, 1562928
8191, 1436133
8192, 2054108
8192, 1791648
8191, 1807888
8192, 1739648
8191, 5589941
8192, 1699963
8191, 4795950
8192, 1665593
8191, 1604576
8192, 1421725
8191, 1422411
8192, 4776376
8191, 1671223
16383, 2833619
16383, 2812675
8192, 1762593
16383, 5964938
16383, 3246040
8192, 1696334
16383, 4139791
16383, 3518427
8192, 1387208
8191, 1252061
8192, 1225561
8191, 1237376
8192, 1216006
8191, 1207599
8192, 1321005
8191, 1354949
16383, 3174097
8192, 1319431
8191, 1227931
8192, 1219673
8191, 1248321
8192, 1219839
8191, 1217376
8192, 1454114
8191, 1384430
8192, 1822407
8192, 1342394
8191, 1252320
8192, 1272931
8191, 1224746
8192, 1214062
8191, 1245321
8192, 1214209
8191, 1211043
8192, 1327042
8191, 1377411
8192, 1425263
8191, 1501485
8192, 1258894
8191, 1277116
8192, 1401596
8191, 1237821
8192, 1259265
8191, 1284375
8192, 1224950
8191, 1359801
8192, 1329949
8191, 1481948
8192, 1795388
8192, 1336449
8191, 1241875
8192, 1226653
8191, 1275820
8192, 1369949
8191, 1226653
8192, 1264080
8191, 1232876
8192, 1266672
8191, 1394042
8192, 1442170
8191, 1639334
8192, 1532521
8191, 1238562
8192, 1227339
8191, 1248395
8192, 1227339
8191, 1211284
8192, 1302375
8191, 1227747
8192, 1278617
8191, 1381060
8192, 1428522
8191, 1693908
8192, 1301505
8191, 1230043
8192, 1262802
8191, 1223932
8192, 1213191
8191, 1252042
8192, 1234691
8191, 1212265
8192, 1203135
8191, 1369208
8192, 1559058
8191, 1797703
8192, 1661816
8191, 1592816
8192, 1245154
8191, 1223191
8192, 1260709
8191, 1672260
8192, 1446225
8192, 7515292
8191, 1404652
8192, 1425707
8192, 1386189
8191, 1242042
8192, 1291709
8191, 1367245
8192, 1385393
8191, 1306042
8192, 1238172
8191, 1222728
8192, 1296079
8191, 1286097
8192, 1247653
8191, 1250043
8192, 1227024
8191, 1221172
8192, 1243913
8191, 1277116
8192, 1415060
8191, 1457541
8192, 1728667
8192, 1338579
8191, 1243635
8192, 1225302
8191, 1249543
8192, 1223765
8191, 1229025
8192, 1247913
8191, 1245117
8192, 1221135
8191, 1296227
8192, 1337579
8191, 1321319
8192, 1372800
8191, 1301505
8192, 1404208
8191, 1372634
8192, 1344986
8191, 1254301
8192, 1229265
8191, 1261839
8192, 1224450
8191, 1220598
8192, 1238691
8191, 1218302
8192, 1212321
8191, 1248617
8192, 1223616
8191, 1215617
8192, 1230858
8191, 1226339
8192, 1308930
8191, 1212876
8192, 1243450
8191, 1217858
8192, 1210617
8191, 1237728
8192, 1217265
8191, 1207839
8192, 1243264
8191, 1213895
8192, 1209543
8191, 1238468
8192, 1218783
8191, 1207413
8192, 1408337
8191, 1236672
8192, 1213043
8191, 1210284
8192, 1258987
8191, 1224580
8192, 1210820
8191, 1249043
8192, 1219876
8191, 1215266
8192, 1241561
8191, 1215043
8192, 1211857
8191, 1258913
8192, 1225839
8191, 1210191
8192, 1358727
8191, 1234654
8192, 1212358
8191, 1251376
8192, 1225043
8191, 1253247
8192, 1230117
8191, 1254431
8192, 1222376
8191, 1223765
8192, 1241135
8191, 1217005
8192, 1225932
8191, 1305060
8192, 1233617
8191, 1222543
8192, 1239543
8191, 1221451
8192, 1213469
8191, 1238858
8192, 1225340
8191, 1217895
8192, 1210636
8191, 1236728
8192, 1216210
8191, 1212858
8192, 1232672
8191, 1212673
8192, 1206543
8191, 1235265
8192, 1226654
8191, 1234302
8192, 1249857
8191, 1261561
8192, 1212543
8191, 1232302
8192, 1216728
8191, 1218080
8192, 1211969
8191, 1242654
8192, 1223173
8191, 1213876
8192, 1238265
8191, 1211450
8192, 1207950
8191, 1244765
8192, 1222191
8191, 1212173
8192, 1244968
8191, 1220636
8192, 1210154
8191, 1230062
8192, 1228617
8191, 1212432
8192, 1209524
8191, 1244487
8192, 1220710
8191, 1218042
8192, 1253153
8191, 1215210
8192, 1214136
8191, 1336986
8192, 1221358
8191, 1207766
8192, 1261450
8191, 1232357
8192, 1214617
8191, 1240617
8192, 1216525
8191, 1210617
8192, 1204469
8191, 1235394
8192, 1211654
8191, 1212284
8192, 1264672
8191, 1227321
8192, 1210784
8191, 1256747
8192, 1221561
8191, 1230265
8192, 1283653
8191, 1228247
8192, 1204840
8191, 1240043
8192, 1218728
8191, 1253469
8192, 1230839
8191, 1233710
8192, 1214524
8191, 1213135
8192, 1246228
8191, 1311635
8192, 1218228
8191, 1307616
8192, 1240839
8191, 1215543
8192, 1231932
8191, 1221339
8192, 1208117
8191, 1239784
8192, 1212858
8191, 1215691
8192, 1244894
8191, 1219636
8192, 1215080
8191, 1215987
8192, 1235246
8191, 1214506
8192, 1208413
8191, 1233932
8192, 1210562
8191, 1208469
8192, 1225080
8191, 1215802
8192, 1206747
8191, 1241746
8192, 1239524
8191, 1225191
8192, 1210246
8191, 1241265
8192, 1222395
8191, 1220117
8192, 1263468
8191, 1219117
8192, 1209098
8191, 1276783
8192, 1232321
8191, 1217024
8192, 1248190
8191, 1226190
8192, 1211377
8191, 1237931
8192, 1211765
8191, 1208506
8192, 1203024
8191, 1221005
8192, 1205043
8191, 1209784
8192, 1234561
8191, 1211784
8192, 1207914
8191, 1233932
8192, 1213672
8191, 1206617
8192, 1283542
8191, 1246598
8192, 1219209
8191, 1399300
8192, 1483003
8191, 1499818
8192, 1654335
8192, 1479170
8191, 1505614
8192, 1468818
8191, 1406819
8192, 1413300
8191, 1407189
8192, 1360633
8191, 1398930
8192, 1367930
8191, 1441985
8192, 1543521
8191, 1466466
8192, 1506947
8191, 1504317
8192, 1494466
8191, 1529391
8192, 1493169
8191, 1498280
8192, 1522540
8191, 1353727
8192, 2206088
8191, 1488355
8192, 1519595
8191, 1439448
8192, 1505280
8191, 1438818
8192, 1430133
8191, 1473559
8192, 1422393
8191, 1448781
8192, 1436022
8191, 1556632
8192, 1454837
8191, 1609224
8192, 2346661
8191, 6864539
8192, 1430652
8191, 3842682
8192, 1532576
8191, 1451633
8192, 11875635
8191, 1461910
8192, 1351689
