muestras, tiempo(ns)
8192, 125660538
16383, 539066972
8192, 326522546
16383, 602247896
8192, 302119456
8191, 315284343
8192, 299936959
8191, 310064266
8192, 313079662
8191, 306233118
8192, 116474593
8191, 102883599
8192, 103583259
8191, 108185083
8192, 105974087
8191, 298415419
8192, 304696448
8191, 298492789
8192, 304268360
8191, 307704177
8192, 303690255
8191, 303068076
8192, 312858034
8191, 311178069
8192, 316700051
8191, 255987751
8192, 102398419
8191, 164068894
8192, 306842445
8191, 297180598
8192, 310374559
8191, 306329414
8192, 309605658
8191, 301323297
8192, 301754404
8191, 315927799
8192, 303412202
8191, 307779455
8192, 213419010
8191, 204094827
8192, 305796252
8191, 326778672
8192, 307259145
8191, 307814602
8192, 306974259
8191, 301092836
8192, 313208344
8191, 310495945
8192, 302452007
8191, 308588261
8192, 141333825
8191, 109413941
8192, 98331589
8191, 105838051
8192, 103835571
8191, 102378012
8192, 102927284
8191, 105526906
8192, 99690242
8191, 100555660
8192, 101562594
8191, 105307057
8192, 105646090
8191, 105929198
8192, 100672381
8191, 106868504
8192, 102785674
8191, 103682202
8192, 104433361
8191, 110165064
8192, 116563036
8191, 103261744
8192, 110409690
8191, 104149512
8192, 116733998
8191, 100213477
8192, 102423197
8191, 101627982
8192, 100182256
8191, 106409398
8192, 106360287
8191, 108879502
8192, 102822693
8191, 107734792
8192, 101526539
8191, 101822906
8192, 101204245
8191, 105356796
8192, 253305000
8191, 307520234
8192, 306233173
8191, 303121520
8192, 300075328
8191, 299824997
8192, 312378075
8191, 309451808
8192, 307298756
8191, 297222097
8192, 315589413
8191, 117584082
8192, 104612674
8191, 101941516
8192, 101399003
8191, 301968531
8192, 298527732
8191, 299026782
8192, 299500241
8191, 300331084
8192, 307578734
8191, 303280591
8192, 298675398
8191, 301273500
8192, 307304904
8191, 295819166
8192, 105319445
8191, 102923728
8192, 103959588
8191, 105100632
8192, 99992498
8191, 99050916
8192, 102509751
8191, 100229885
8192, 101381670
8191, 103728090
8192, 101056062
8191, 103641147
8192, 105054929
8191, 107949178
8192, 112476280
8191, 99685464
8192, 104257863
8191, 112807203
8192, 103213281
8191, 100512975
8192, 103740813
8191, 101906849
8192, 106746431
8191, 104445842
8192, 101131746
8191, 104936893
8192, 100050923
8191, 98684179
8192, 101220115
8191, 198222588
8192, 302331583
8191, 300099494
8192, 316538366
8191, 303973121
8192, 303748272
8191, 297525834
8192, 302346471
8191, 309108367
8192, 299999772
8191, 312697497
8192, 177327150
8191, 100763620
8192, 105049615
8191, 105492128
8192, 100817990
8191, 104226400
8192, 108510339
8191, 98268257
8192, 101797814
8191, 108924409
8192, 105115799
8191, 98226460
8192, 105361167
8191, 108152936
8192, 114340966
8191, 102455529
8192, 99620669
8191, 101951497
8192, 105361778
8191, 110984406
8192, 99497504
8191, 103305391
8192, 104491268
8191, 103809275
8192, 105463129
8191, 99727426
8192, 127857478
8191, 300633451
8192, 302853836
8191, 316966362
8192, 309103793
8191, 301165057
8192, 312557887
8191, 306342579
8192, 303566644
8191, 347501611
8192, 318259904
8191, 202737117
8192, 101551224
8191, 101301152
8192, 98121850
8191, 98355181
8192, 102575528
8191, 100862897
8192, 112278579
8191, 108383303
8192, 100155441
8191, 99575225
8192, 108551097
8191, 102761971
8192, 100617084
8191, 115311845
8192, 99041082
8191, 106830541
8192, 102192736
8191, 109076407
8192, 103070245
8191, 106012420
8192, 105279334
8191, 114940108
8192, 101690499
8191, 101003562
8192, 103733350
8191, 132315063
8192, 308363800
8191, 316281609
8192, 313277584
8191, 305535253
8192, 316722216
8191, 311301936
8192, 302636690
8191, 299755737
8192, 301941697
8191, 324628840
8192, 213468510
8191, 101385003
8192, 99679890
8191, 99577706
8192, 109477570
8191, 105256334
8192, 106171251
8191, 105389555
8192, 101853628
8191, 104667803
8192, 101187190
8191, 113469511
8192, 107784938
8191, 115787877
8192, 107235388
8191, 103019319
8192, 106714616
8191, 108453413
8192, 110759575
8191, 107309962
8192, 101308966
8191, 100682658
8192, 102421900
8191, 104869857
8192, 108070436
8191, 164898496
8192, 310631424
8191, 308659537
8192, 304486819
8191, 324504989
8192, 307122293
8191, 305208257
8192, 298436509
8191, 299474703
8192, 310433667
8191, 302951149
8192, 197173265
8191, 99275191
8192, 103330668
8191, 102573102
8192, 108305470
8191, 100258977
8192, 101128154
8191, 100473938
8192, 102603046
8191, 115126772
8192, 108458525
8191, 101876942
8192, 112155024
8191, 116063485
8192, 103012098
8191, 99209987
8192, 102269882
8191, 105234853
8192, 103678554
8191, 101376947
