muestras, tiempo(ns)
16383, 14447124
8192, 11042474
16383, 15277967
16383, 11163251
16383, 6864686
8192, 9843858
8191, 7863287
8192, 7767436
8191, 11912781
8192, 11955225
8191, 7945193
8192, 7908601
8191, 7897045
8192, 15948645
8191, 7916101
8192, 7930101
8191, 7945286
8192, 7935804
8191, 7117609
8192, 3459241
8191, 3171448
8192, 3231465
8191, 2998413
8192, 3188003
8191, 3136670
8192, 3195336
8191, 3425130
8192, 3201799
8191, 3173393
8192, 3201262
8191, 3208984
8192, 3029153
8191, 3194596
8192, 3163040
8191, 3197244
8192, 3404075
8191, 3208595
8192, 3511370
8191, 2943394
8192, 3174633
8191, 3406556
8192, 3343575
8191, 3250225
8192, 3089282
8191, 3180966
8192, 3200058
8191, 3195410
8192, 3399964
8191, 3106837
8192, 3182503
8191, 3160337
8192, 3205540
8191, 3104745
8192, 3416223
8191, 2906894
8192, 3397889
8191, 2933988
8192, 3213928
8191, 3405112
8192, 3201151
8191, 3162300
8192, 3140225
8191, 3106689
8192, 3158040
8191, 3235651
8192, 3402130
8191, 3205133
8192, 3171688
8191, 3190355
8192, 3499907
8191, 3430796
8192, 3144263
8191, 3240465
8192, 3177781
8191, 3304279
8192, 3136337
8191, 3403631
8192, 3105800
8191, 3186817
8192, 3183837
8191, 3209614
8192, 3136762
8191, 3195188
8192, 3176615
8191, 3186170
8192, 3115208
8191, 3201817
8192, 3070819
8191, 3195891
8192, 3259483
8191, 3254614
8192, 3102948
8191, 2916117
8192, 3361427
8191, 3201540
8192, 3054152
8191, 3425834
8192, 3096115
8191, 3191299
8192, 3155281
8191, 3401742
8192, 3213373
8191, 3183725
8192, 3228502
8191, 3418667
8192, 3157244
8191, 3213003
8192, 3206854
8191, 3574184
8192, 3926199
8192, 4134271
8191, 3568610
8192, 3491019
8191, 3405038
8192, 3221132
8191, 3147985
8192, 3255020
8191, 3454352
8192, 3195281
8191, 3131411
8192, 3411019
8191, 3150318
8192, 3213892
8191, 3186615
8192, 3174022
8191, 3418482
8192, 3085393
8191, 3216947
8192, 3355149
8191, 3414816
8192, 3152244
8191, 3223818
8192, 2921710
8191, 3514685
8192, 2970968
8191, 3197521
8192, 3098429
8191, 3397315
8192, 2914913
8191, 3213521
8192, 3392612
8191, 3195633
8192, 3193836
8191, 3413612
8192, 3410630
8191, 2898191
8192, 3291576
8191, 3285002
8192, 3698793
8191, 3333465
8192, 3562332
8192, 3432390
8191, 3340538
8192, 3243503
8191, 3348798
8192, 3360427
8192, 3350945
8191, 3554814
8192, 3438352
8191, 3680534
8192, 3642795
8192, 3410408
8191, 3406260
8192, 3353538
8191, 3572369
8192, 3966310
8191, 3615740
8192, 3369094
8191, 3558018
8192, 3441241
8192, 3426630
8191, 3333631
8192, 3334057
8191, 3619740
8192, 3420260
8191, 3406686
8192, 3124411
8191, 16860005
8192, 15963274
8191, 15899237
8192, 15951681
8191, 7985600
8192, 7910342
8191, 7930323
8192, 15925442
8191, 7945582
8192, 7934489
8191, 7925693
8192, 7967008
8191, 7911360
8192, 11964317
8191, 7959711
8192, 16053977
8191, 15773998
8192, 15928293
8191, 7893601
8192, 15964218
8191, 13559059
8192, 6326358
8191, 7955156
8192, 7927545
8191, 7976100
8192, 7920193
8191, 8002155
8192, 7912175
8191, 8000767
8192, 7895452
8191, 7991767
8192, 7907100
8191, 7985692
8192, 19930639
8191, 7920230
8192, 7971600
8191, 7916545
8192, 7989859
8191, 19930769
