muestras, tiempo(ns)
16383, 80731675
16383, 151113875
8192, 105780316
16383, 179457386
8192, 62592047
16383, 128318541
8192, 62876267
16383, 124643694
8192, 66934517
8191, 67146403
8192, 72124013
8191, 71793184
8192, 139967205
8191, 87859316
16383, 164889625
8192, 62464975
16383, 139827855
8192, 65940083
8191, 63954569
16383, 123677279
8192, 63342817
8191, 64155196
8192, 62820822
8191, 65904676
8192, 63878977
8191, 61302174
8192, 61565281
8191, 65788863
8192, 66632428
8191, 66414689
8192, 64227658
8191, 64823189
8192, 65210629
8191, 62381143
8192, 64242326
8191, 63270003
8192, 64370361
8191, 61635559
8192, 63569925
8191, 51236677
8192, 23772082
8191, 20565247
8192, 23783674
8191, 23719359
8192, 23777082
8191, 23062220
8192, 20759857
8191, 22044879
8192, 23237125
8191, 21809234
8192, 22086249
8191, 22220692
8192, 23771859
8191, 21345109
8192, 21399941
8191, 22241896
8192, 23781674
8191, 23899599
8192, 21459886
8191, 21421756
8192, 21441423
8191, 23245199
8192, 21532848
8191, 21881344
8192, 21377960
8191, 23314123
8192, 21484237
8191, 22835463
8192, 22991276
8191, 22587669
8192, 22319098
8191, 20791559
8192, 23894340
8191, 20806856
8192, 22314561
8191, 20899614
8192, 57356663
8191, 61902167
8192, 63544629
8191, 67519602
8192, 62228385
8191, 65188444
8192, 65092797
8191, 64552266
8192, 64327954
8191, 66442170
8192, 69137103
8191, 65950620
8192, 68111096
8191, 65820104
8192, 63671924
8191, 71237635
8192, 68676942
8191, 63176448
8192, 62675640
8191, 64310491
8192, 64896521
8191, 64478471
8192, 68583146
8191, 65386794
8192, 64034235
8191, 64920040
8192, 62070350
8191, 69081825
8192, 69134140
8191, 65009261
8192, 71351985
8191, 65956324
8192, 64770208
8191, 64283825
8192, 63369946
8191, 62924581
8192, 67222106
8191, 63320002
8192, 66543873
8191, 65611328
8192, 64461193
8191, 63001691
8192, 68515091
8191, 64618450
8192, 64430897
8191, 69006993
8192, 71291115
8191, 63851645
8192, 71258264
8191, 63414575
8192, 39837213
8191, 23093534
8192, 23763526
8191, 23030738
8192, 20898929
8191, 23296031
8192, 20551970
8191, 22185841
8192, 20688228
8191, 21250277
8192, 21379757
8191, 23760970
8192, 22434412
8191, 23718879
8192, 23781896
8191, 20286602
8192, 23323809
8191, 23393549
8192, 22741685
8191, 21573088
8192, 21391461
8191, 22477782
8192, 21668938
8191, 23003757
8192, 23773508
8191, 23741415
8192, 23722767
8191, 21532440
8192, 22748723
8191, 21515422
8192, 23908025
8191, 21793493
8192, 23499640
8191, 23586362
8192, 23707508
8191, 21554533
8192, 23176626
8191, 21483700
8192, 23771600
8191, 21430238
8192, 23729990
8191, 21462071
8192, 21570218
8191, 21729457
8192, 23409900
8191, 22024787
8192, 23818396
8191, 23509233
8192, 23008720
8191, 20921207
8192, 22320413
8191, 21446090
8192, 22303061
8191, 21425127
8192, 23755193
8191, 20970910
8192, 22215877
8191, 20984595
8192, 23817711
8191, 21534052
8192, 23836340
8191, 21440682
8192, 22777593
8191, 22674705
8192, 22540003
8191, 21189815
8192, 23737786
8191, 21537125
8192, 22574170
8191, 20037402
8192, 22630391
8191, 20830430
8192, 23549250
8191, 23835303
8192, 22765463
8191, 22089101
8192, 22982850
8191, 40279209
8192, 63900496
8191, 65283998
8192, 64286121
8191, 65727531
8192, 64144567
8191, 71382170
8192, 65612772
8191, 67842266
8192, 64830948
8191, 66508373
8192, 63483834
8191, 62665639
8192, 65060334
8191, 61556264
8192, 63152041
8191, 63742331
8192, 63313910
8191, 61231841
8192, 69463025
8191, 63743201
8192, 70369793
8191, 62316329
8192, 67254365
8191, 64172919
8192, 71219209
8191, 68379037
8192, 65344961
8191, 62673010
8192, 67463363
8191, 62988543
8192, 65828048
8191, 64117993
8192, 71196747
8191, 64371935
8192, 71392855
8191, 62282162
8192, 71278671
8191, 63696202
8192, 71255838
8191, 65171018
8192, 62869933
8191, 67551843
8192, 65571310
8191, 61340544
8192, 66895369
8191, 65292610
8192, 66843611
8191, 63697295
8192, 63884330
8191, 63494149
8192, 23805118
8191, 23751878
8192, 23767193
8191, 22351154
8192, 23104664
8191, 23269032
8192, 22506004
8191, 23508788
8192, 23745693
8191, 22756926
8192, 22045120
8191, 21501478
8192, 22956665
8191, 22628187
8192, 23713360
8191, 23737545
8192, 23749322
8191, 23084460
8192, 23426641
8191, 23847896
8192, 23790822
8191, 22564262
8192, 22759964
8191, 23814896
8192, 23383772
8191, 23802637
8192, 22957332
8191, 23905247
8192, 22139118
8191, 23800285
8192, 23074701
8191, 22087435
8192, 23734008
8191, 23787914
8192, 22739593
8191, 21634921
8192, 22976720
8191, 21100352
8192, 22315913
8191, 21172389
8192, 22310765
8191, 23740638
8192, 22366709
8191, 20748653
8192, 23009220
8191, 21431979
8192, 23647564
8191, 21472533
8192, 23751970
8191, 23349160
8192, 23763452
8191, 21570310
8192, 23786767
8191, 23329901
8192, 22844500
8191, 23787952
8192, 23763619
8191, 21410108
8192, 23720693
8191, 21561644
8192, 23824673
8191, 21469978
8192, 22011138
8191, 21445164
8192, 23746211
8191, 21437201
8192, 23710675
8191, 23007979
8192, 23818544
8191, 20808912
8192, 23792044
8191, 71211783
8192, 64013550
8191, 71235690
8192, 62369346
8191, 65987935
8192, 64638006
8191, 64346528
8192, 68533610
8191, 66190174
8192, 69048252
8191, 63528852
8192, 69113307
8191, 64045049
8192, 67519696
8191, 64265788
8192, 61592819
8191, 64461397
8192, 71243820
8191, 65144389
8192, 67120311
8191, 64229622
8192, 64952391
8191, 63234040
8192, 67357642
8191, 63233985
8192, 66361968
8191, 64849726
8192, 63593573
8191, 70080444
8192, 69696171
8191, 66715519
8192, 62701435
8191, 66380764
8192, 65161888
8191, 68784292
8192, 64995372
8191, 60931955
8192, 69120492
8191, 64274455
8192, 66942313
8191, 62882877
8192, 67593991
8191, 63959347
8192, 66653557
8191, 64384657
8192, 71260042
8191, 64254954
8192, 65346387
8191, 64241659
8192, 71221579
8191, 21474330
8192, 23739674
8191, 21572477
8192, 23904284
8191, 22588206
8192, 23743600
8191, 21399757
8192, 22618225
8191, 21428830
8192, 23713749
8191, 21539700
8192, 23271291
8191, 21483089
8192, 23367215
8191, 21429682
8192, 23768415
8191, 21448627
8192, 23722490
8191, 21077575
8192, 23831785
8191, 21457794
8192, 21953602
8191, 21254573
8192, 23773915
8191, 22623854
8192, 23753804
8191, 22091267
8192, 22706408
8191, 23105126
8192, 22183896
8191, 21488496
8192, 22904332
8191, 23808155
8192, 23448178
8191, 23902321
8192, 22729667
8191, 22814963
8192, 22237858
8191, 22741316
8192, 23103867
8191, 23671527
8192, 23746601
8191, 21566514
8192, 23804988
8191, 22816908
8192, 23728730
8191, 21490403
8192, 23757526
8191, 21408442
8192, 23723860
8191, 22103230
8192, 23799007
8191, 21324017
8192, 22674298
8191, 21436534
8192, 22775945
8191, 21472200
8192, 21901454
8191, 23823581
8192, 23755044
8191, 21840808
8192, 22174100
8191, 23738638
8192, 22475670
8191, 22733723
8192, 21610458
8191, 21819974
8192, 22758760
8191, 23773841
8192, 22184359
8191, 22955591
8192, 22554299
8191, 21487941
8192, 23720120
8191, 21206537
8192, 22857722
8191, 42289852
8192, 61286229
8191, 70598346
8192, 65049557
8191, 70866249
8192, 66148729
8191, 71352430
8192, 66929073
8191, 65704735
8192, 69944076
8191, 63561630
8192, 63645962
8191, 66525300
8192, 64270307
8191, 68872106
8192, 66487152
8191, 63619128
8192, 64881281
8191, 62368087
8192, 66076138
8191, 64539284
8192, 67056756
8191, 67060812
8192, 71110914
8191, 65271035
8192, 69354860
8191, 67164477
8192, 64663876
8191, 61912593
8192, 68308112
8191, 66978109
8192, 65910973
8191, 62283977
8192, 63535463
8191, 66863907
8192, 63796368
8191, 70076740
8192, 67530473
8191, 70981693
8192, 70155239
8191, 68978623
8192, 65145371
8191, 67063256
8192, 64486360
8191, 61995333
8192, 65277610
8191, 65268999
8192, 67424141
8191, 64234214
8192, 70351071
8191, 32401669
8192, 23801322
8191, 20848856
8192, 23601342
8191, 20675042
8192, 21661976
8191, 21502366
8192, 22795703
8191, 22217600
8192, 22517393
8191, 23808099
8192, 23689897
8191, 21576644
8192, 23788304
8191, 23553436
8192, 22018435
8191, 23760341
8192, 22976202
8191, 23769507
8192, 22300506
8191, 21595569
8192, 23799322
8191, 21468478
8192, 23728878
8191, 21466033
8192, 22435393
8191, 21303813
8192, 23313013
8191, 21108278
8192, 23776137
8191, 21832307
8192, 23757359
8191, 21422997
8192, 22210933
8191, 21798067
8192, 23734157
8191, 23067331
8192, 22688613
8191, 21423497
8192, 23815321
8191, 23824507
8192, 23774748
8191, 23434141
8192, 24785810
8191, 23913599
8192, 22601484
8191, 21187704
8192, 23490141
8191, 21454497
8192, 23207274
8191, 21326128
8192, 23618528
8191, 21590440
8192, 22101897
8191, 21689532
8192, 22677761
8191, 22338079
8192, 20444898
8191, 22134711
8192, 23152218
8191, 23495733
8192, 21484126
8191, 21454830
8192, 23777711
8191, 23753786
8192, 21878918
8191, 21389497
8192, 22894888
8191, 23726582
8192, 23137145
8191, 21404886
8192, 23787692
8191, 21454015
8192, 22672057
8191, 21633365
8192, 23804952
8191, 24226224
8192, 71199820
8191, 64225418
8192, 70975619
8191, 62815952
8192, 65365312
8191, 62797638
8192, 71205653
8191, 64272529
8192, 70432569
8191, 64240140
8192, 62875341
8191, 64415749
8192, 66195451
8191, 64194418
8192, 66423653
8191, 64191215
8192, 62722972
8191, 65761901
8192, 67517621
8191, 65932584
8192, 68319649
8191, 61794909
8192, 64883114
8191, 65481219
8192, 69403748
8191, 64250677
8192, 63421353
8191, 64404082
8192, 63625443
8191, 71256208
8192, 64730635
8191, 71353911
8192, 66592928
8191, 64384268
8192, 67261477
8191, 62716972
8192, 71179024
8191, 70332515
8192, 66915110
8191, 66444226
8192, 67351086
8191, 71175209
8192, 64238917
8191, 63042784
8192, 67150867
8191, 63888625
8192, 71273449
8191, 69616968
8192, 64145678
8191, 53612835
8192, 23758396
8191, 23892081
8192, 23118959
8191, 23790044
8192, 22867018
8191, 23759156
8192, 23356734
8191, 23775600
8192, 23773749
8191, 21572848
8192, 23788544
8191, 21363979
8192, 22777964
8191, 22534540
8192, 23245903
8191, 22612854
8192, 22468319
8191, 23877192
8192, 21492015
8191, 21440663
8192, 22317709
8191, 21347091
8192, 23829914
8191, 22502115
8192, 23075553
8191, 22290894
8192, 23651064
8191, 22662502
8192, 21943232
8191, 22121952
8192, 23441215
8191, 23732600
8192, 22554558
8191, 23842229
8192, 21892177
8191, 22529967
8192, 22757815
8191, 20759986
8192, 23568807
8191, 22761852
8192, 23384605
8191, 21562459
8192, 22840351
8191, 23765063
8192, 22910665
8191, 21860492
8192, 22676279
8191, 21473070
8192, 23109886
8191, 22478874
8192, 23821526
8191, 21448886
8192, 23163921
8191, 21296406
8192, 23232365
8191, 22055638
8192, 23521047
8191, 21353609
8192, 21869529
8191, 23783600
8192, 22825426
8191, 22614706
8192, 22099008
8191, 23649083
8192, 23757230
8191, 22506151
8192, 23793192
8191, 23069534
8192, 23625953
8191, 22449115
8192, 22461782
8191, 22465670
8192, 23010887
8191, 22189359
8192, 23708471
8191, 36538418
8192, 61032788
8191, 64434675
8192, 71181913
8191, 64012698
8192, 63096468
8191, 64479767
8192, 71173098
8191, 71227857
8192, 63387613
8191, 70481680
8192, 67766914
8191, 66781852
8192, 63770775
8191, 65286276
8192, 64807578
8191, 71208172
