muestras, tiempo(ns)
8192, 18161887
8191, 31303159
8192, 15587691
8191, 15881540
8192, 15739208
8191, 24320009
8192, 18100777
8191, 30395613
8192, 12230263
8191, 7756513
8192, 7812420
8191, 23892402
8192, 15909318
8191, 7905714
8192, 7849012
8191, 7899640
8192, 7898085
8191, 47479123
8192, 8294526
8191, 7862382
8192, 7894715
8191, 7884974
8192, 7900530
8191, 7895863
8192, 7897807
8191, 11905488
8192, 11909082
8191, 7883586
8192, 7893938
8191, 7907474
8192, 7886993
8191, 7907752
8192, 7885400
8191, 7891752
8192, 7896975
8191, 7890752
8192, 7911900
8191, 7899919
8192, 7893011
8191, 7901048
8192, 7893956
8191, 7901159
8192, 7909160
8191, 7192648
8192, 7732087
8191, 7875141
8192, 7913659
8191, 7868308
8192, 7886289
8191, 7939937
8192, 7864364
8191, 7894141
8192, 7895196
8191, 7894715
8192, 7899696
8191, 7906882
8192, 7927271
8191, 7856474
8192, 7895067
8191, 7892956
8192, 7904548
8191, 7899382
8192, 40311752
8191, 12052079
8192, 9751400
8191, 13983375
8192, 21290115
8191, 34072798
8192, 43849011
8191, 21122282
8192, 18212202
8191, 17022862
8192, 10701371
8191, 15528415
8192, 8017399
8191, 16219648
8192, 34551904
8191, 40923449
8192, 21000895
8191, 26422654
8192, 18471254
8191, 15927929
8192, 20679195
8191, 19142803
8192, 45077407
8191, 54664178
8192, 28492003
8191, 35306989
8192, 40064958
8191, 23890050
8192, 13554268
8191, 19494280
8192, 9371645
8191, 7977307
8192, 7759291
8191, 7993880
8192, 8074713
8191, 7610736
8192, 8212157
8191, 7844512
8192, 7937214
8191, 10755816
8192, 5725923
8191, 6783486
8192, 8005954
8191, 7945122
8192, 8079954
8191, 7869344
8192, 7610718
8191, 8178397
8192, 7916030
8191, 7600921
8192, 7944159
8191, 5916994
8192, 6951817
8191, 7881752
8192, 7882641
8191, 10421041
8192, 8859612
8191, 7882437
8192, 6934651
8191, 13366732
8192, 7187704
8191, 5822921
8192, 6727560
8191, 7891548
8192, 11828323
8191, 20367031
8192, 30310484
8191, 13065569
8192, 13498491
8191, 5760904
8192, 16403572
8191, 9256312
8192, 5584201
8191, 4866487
8192, 5602183
8191, 7061150
8192, 4837820
8191, 6962261
8192, 5341167
8191, 10169173
8192, 3583074
16383, 12272151
8192, 5060448
8191, 5312334
8192, 5280372
8191, 3474390
8192, 5230020
8191, 5372445
8192, 5544332
8191, 3473502
8192, 5190706
8191, 5400815
8192, 5583350
8191, 5460777
8192, 10336968
8191, 3868090
8192, 5080207
8191, 5236613
8192, 5309797
8191, 3481242
8192, 5167854
8191, 5236391
8192, 5281945
8191, 3804257
8192, 5197335
8191, 5301427
8192, 5539480
8191, 3464075
8192, 5181799
8191, 5278149
8192, 11071294
8191, 15879911
8192, 17842872
8191, 5268094
8192, 7879697
8191, 7932436
8192, 5478962
8191, 3529537
8192, 5206595
8191, 5358593
8192, 5290649
8191, 6092345
8192, 14940495
8191, 7591866
8192, 6278676
8191, 4594786
8192, 8419877
8191, 5457333
8192, 6045604
8191, 3868812
8192, 5263760
8191, 5215335
8192, 5265427
8191, 3604592
8192, 5310260
8191, 10350430
8192, 3932830
8191, 5707275
8192, 7422628
8191, 5548202
8192, 5636294
8191, 5583479
8192, 5788847
8191, 3603074
8192, 5565628
8191, 5360149
8192, 5679349
8191, 5429537
8192, 3504483
8192, 4965912
8191, 4988967
8192, 5047689
8191, 3542722
8192, 4938338
8191, 5060392
8192, 2956859
8192, 1812592
8191, 1817796
8192, 3157597
8191, 1366689
8192, 1722908
8191, 1793019
8192, 1718926
8191, 1717538
8192, 1794703
8191, 1311949
8192, 1717075
8191, 1791204
8192, 1288617
8192, 1719204
8191, 1909999
8192, 1788537
8191, 2002627
8192, 1732926
8191, 1329912
8192, 1955961
8191, 2643824
8192, 4816488
8191, 1381375
8192, 1838407
8191, 1804111
8192, 1721167
8191, 1743260
8192, 1777889
8191, 1740352
8192, 1793778
8191, 1332746
8192, 1726741
8191, 1865628
8192, 1829222
8191, 1375652
8192, 1714798
8191, 1785167
8192, 1304042
8192, 1822555
8191, 1780278
8192, 1725149
8191, 1738963
8192, 1405856
8192, 5217983
8191, 5350168
8192, 5044004
8191, 3996514
8192, 5380000
8191, 5185817
8192, 3666425
8191, 4969245
8192, 4980856
8191, 5116318
8192, 3562500
8192, 5006764
8191, 5345704
8192, 3566370
8191, 5054282
8192, 5056448
8191, 3456557
8192, 4954949
8191, 5285483
8192, 4402048
8191, 4995245
8192, 5045337
8191, 3587000
8192, 5447555
8191, 5380926
8192, 5365945
8191, 9793751
8192, 6537433
8191, 6118289
8192, 7942159
8191, 17796187
8192, 5142002
8191, 3601351
8192, 5032078
8191, 3589111
8192, 5266612
8191, 5295297
8192, 5223687
8191, 3576686
8192, 5106818
8191, 5097355
8192, 3649796
8191, 6561025
8192, 27838844
8191, 7666032
8192, 5094188
8191, 3530297
8192, 4953616
8191, 5220687
8192, 5865828
8191, 5040041
8192, 3424631
8192, 5215650
8191, 5251075
8192, 5222447
8191, 3854923
8192, 5307019
8191, 5030986
8192, 5224298
8191, 3475797
8192, 5038429
8191, 5282631
8192, 5064614
8191, 3469131
8192, 6201140
8191, 5539646
8192, 3479649
8192, 5026763
8191, 5076318
8192, 3456631
8191, 4936523
8192, 4959431
8191, 5111984
8192, 3481797
8192, 5070577
8191, 7216111
8192, 5766718
8191, 3559426
8192, 5104540
8191, 5232224
8192, 3555260
8191, 5012356
8192, 5136021
8191, 5038485
8192, 3461427
8192, 4996190
8191, 9238683
8192, 7651755
8191, 3564259
8192, 5279391
8191, 7207444
8192, 8867038
8191, 8660892
8192, 3508204
8192, 5655479
8191, 10153173
8192, 7657107
8191, 9080777
8192, 3579482
8192, 5059708
8191, 5253927
8192, 3554259
8191, 3602185
8192, 5031041
8191, 5110040
8192, 3507816
8191, 5090744
8192, 5888217
8191, 5323574
8192, 3522593
8191, 4954505
8192, 5090484
8191, 5047208
8192, 3477853
8192, 4930394
8191, 5066466
8192, 5298872
8191, 5267835
8192, 3424298
8192, 5059762
8191, 4975004
8192, 5165891
8191, 3472797
8192, 4963301
8191, 5278094
8192, 3515427
8191, 5074522
8192, 5682812
8191, 5420389
8192, 5142170
8191, 4439584
8192, 5864828
8191, 3622999
8192, 5131521
8191, 5301316
8192, 3630870
8191, 5057892
8192, 5636460
8191, 6186899
8192, 5052152
8191, 5208502
8192, 3461057
8192, 4958949
8191, 3524297
8192, 5387333
8191, 5641239
8192, 4424529
8191, 8206175
8192, 5385852
8191, 10749537
8192, 3650629
8191, 5073725
8192, 5125428
8191, 5340704
8192, 3470372
8192, 4915394
8191, 5071929
8192, 5011782
8191, 3462113
8192, 4989264
8191, 5014412
8192, 4150550
8191, 4935060
8192, 6764523
8191, 5425018
8192, 5299261
8191, 3505205
8192, 4953338
8191, 5139595
8192, 5150225
8191, 3474483
8192, 4975301
8191, 5030004
8192, 3410020
8192, 5093892
8191, 5102855
8192, 5076726
8191, 3468816
8192, 5206817
8191, 4981930
8192, 5151095
8191, 3444761
8192, 5093855
8191, 6259306
8192, 6839578
8191, 5200650
8192, 3459112
8192, 4944282
8191, 5254334
8192, 5016893
8191, 3447817
8192, 5008837
8191, 5020096
8192, 5145762
8191, 3796127
8192, 5049448
8191, 5111447
8192, 3473890
8191, 4950505
8192, 4962116
8191, 5295019
8192, 3477557
8192, 5057448
8191, 6386879
8192, 11407253
8191, 3625667
8192, 5337112
8191, 5099632
8192, 3505983
8191, 4909228
8192, 5115799
8191, 5260649
8192, 3441076
8192, 4939616
8191, 5057873
8192, 3458742
8192, 5098725
8191, 5106854
8192, 5028837
8191, 3529242
8192, 5111040
8191, 3552519
8192, 4947819
8191, 6225936
8192, 4283456
8192, 5324575
8191, 5561127
8192, 5202539
8191, 3519112
8192, 5036763
8191, 5242520
8192, 5009560
8191, 3435410
8192, 5238076
8191, 5039855
8192, 3554945
8191, 5049411
8192, 4990893
8191, 5263687
8192, 5002318
8191, 4305419
8192, 4959079
8191, 5036097
8192, 5067744
8191, 3996588
8192, 5077837
8191, 4977041
8192, 5015356
8191, 3463650
8192, 4969412
8191, 5033022
8192, 3475946
8191, 4997708
8192, 5047726
8191, 5242613
8192, 5012782
8191, 3410206
8192, 4925912
8191, 6398341
8192, 10701464
8191, 7486441
8192, 5192688
8191, 3560408
8192, 3941645
8191, 1797519
8192, 1795963
8191, 1755723
8192, 1711871
8191, 1258227
8192, 1711908
8191, 1767871
8192, 1717408
8191, 1703278
8192, 1741538
8191, 1756704
8192, 1320135
8192, 1708409
8191, 2521456
8192, 1727482
8191, 1802611
8192, 2271976
8191, 6004327
8192, 1309098
8192, 1725056
8191, 1867851
8192, 3008377
8191, 2904229
8192, 1256135
8192, 1815537
8191, 1210951
8192, 1806815
8191, 4510101
8192, 2508751
8191, 2125534
8192, 1821982
8191, 1889332
8192, 1812037
8191, 1260876
8192, 2658806
8191, 1888999
8192, 1793907
8191, 1854166
8192, 1802722
8191, 3837664
8192, 7429387
8191, 5291334
8192, 3565556
8192, 7283629
8191, 9049555
8192, 4529750
8191, 4830247
8192, 7186500
8191, 5664183
8192, 3641351
8192, 4184512
8191, 13403862
8192, 5922013
8191, 10049267
8192, 5371241
8191, 3692406
8192, 5519776
8191, 5316686
8192, 5339242
8191, 7582811
8192, 5673756
8191, 3588055
8192, 5538295
8191, 3913738
8192, 8831557
8191, 3746350
8192, 5249686
8191, 13105328
8192, 10977980
8191, 9874287
8192, 4443065
8191, 10073415
8192, 5855569
8191, 8217490
8192, 5812569
8191, 10275931
8192, 5560924
8191, 11715120
8192, 3686684
8192, 5202613
8191, 5893680
8192, 10949554
8191, 5647923
8192, 19568336
8191, 28049119
8192, 8074732
8191, 7697124
8192, 7679532
8191, 7696439
8192, 7658976
8191, 9596272
8192, 12478391
8191, 3664518
8192, 9598938
8191, 6299379
8192, 9855732
8191, 6002179
8192, 5601886
8191, 7768623
8192, 3632833
8191, 8954741
8192, 5436833
8191, 8705077
8192, 10430485
8191, 6173307
8192, 5897977
8191, 7698495
8192, 5870551
8191, 9616346
8192, 5446888
8191, 3626296
8192, 5476814
8191, 5324816
8192, 6957373
8191, 3699776
8192, 9819769
8191, 5329094
8192, 10198061
8191, 3588129
8192, 6740875
8191, 5968031
8192, 5428370
8191, 6371712
8192, 4668377
8191, 8999408
8192, 4949523
8191, 8199434
8192, 5481074
8191, 3640759
8192, 6074604
8191, 5542239
8192, 10076452
8191, 3599907
8192, 10577132
8191, 7362628
8192, 9399441
8191, 5975809
8192, 3627555
8192, 5545221
8191, 5365833
8192, 7332073
8191, 8059010
8192, 7617496
8191, 4512509
8192, 10728686
8191, 5650368
8192, 7085501
8191, 11329643
8192, 9417255
8191, 5755774
8192, 3543260
8192, 8120713
8191, 5313445
8192, 6209214
8191, 3584908
8192, 4954153
8191, 6512248
8192, 8015028
8191, 5346852
8192, 5260724
8191, 5516684
8192, 3465390
8192, 5225984
8191, 3495297
8192, 5444666
8191, 5328982
8192, 5564887
8191, 3489872
8192, 5205039
8191, 5298816
8192, 3475909
8191, 5170762
8192, 5210354
8191, 5544906
8192, 5267464
8191, 8621411
8192, 8425969
8191, 18896083
8192, 6504211
8191, 3580056
8192, 3463575
16383, 6964558
16383, 6968872
8192, 5445833
8191, 5192854
16383, 6900521
8192, 4245697
8191, 3571501
16383, 10176322
8192, 3725684
16383, 7000595
16383, 12063524
8192, 3645185
8192, 3445187
16383, 7089131
16383, 6902540
8192, 3578592
16383, 6952021
16383, 18530957
16383, 7334776
