muestras, tiempo(ns)
8192, 3751794
16383, 6133620
8192, 3198021
8191, 3757368
16383, 15859739
8192, 8241487
8191, 10548203
8192, 7901731
8191, 7791899
8192, 7840676
8191, 7929712
8192, 7626419
8191, 8415059
8192, 8772555
8191, 8181061
8192, 7982341
8191, 7402347
8192, 7901805
8191, 7810602
8192, 8107654
8191, 7927545
8192, 7259312
8191, 7772065
8192, 7893805
8191, 7470457
8192, 7809676
8191, 7663289
8192, 7869805
8191, 7799825
8192, 7558271
8191, 7531087
8192, 7651771
8191, 8296709
8192, 8286153
8191, 7636715
8192, 7597568
8191, 7921138
8192, 8487262
8191, 8158117
8192, 7955545
8191, 7748547
8192, 7677048
8191, 7248590
8192, 7720436
8191, 7729455
8192, 7793658
8191, 7700011
8192, 8328078
8191, 7620771
8192, 8933294
8191, 7939490
8192, 8150228
8191, 15726499
8192, 25865929
8191, 9321345
8192, 8071303
8191, 7389459
8192, 7656030
8191, 7814473
8192, 8065748
8191, 7853435
8192, 7680437
8191, 7668603
8192, 7641085
8191, 7773307
8192, 8039359
8191, 7521254
8192, 6880964
8191, 7554678
8192, 7517087
8191, 7538568
8192, 7375810
8191, 7256256
8192, 7555975
8191, 7537661
8192, 7615308
8191, 7922471
8192, 7541457
8191, 7483939
8192, 7554790
8191, 7407958
8192, 7645104
8191, 7701936
8192, 7612530
8191, 8748833
8192, 7839991
8191, 8341060
8192, 7093406
8191, 7920768
8192, 7873768
8191, 7777306
8192, 7771733
8191, 7691622
8192, 7889250
8191, 8070710
8192, 8039396
8191, 7638993
8192, 7690381
16383, 15034895
8192, 8466077
16383, 15761573
8192, 9650379
16383, 16736822
8192, 7942823
16383, 15346429
8192, 7963656
16383, 15269875
8192, 8113839
16383, 36842016
8192, 14612160
8191, 15860720
16383, 30409473
8192, 15383652
16383, 32442081
8192, 14275533
16383, 15401188
8192, 8110802
8191, 7747640
8192, 7463735
8191, 7719807
8192, 7750510
8191, 7743936
8192, 7638734
8191, 7676641
8192, 7631215
8191, 7626549
8192, 7739196
8191, 7749770
8192, 7779140
8191, 7444106
8192, 7789917
8191, 7737400
8192, 7598585
8191, 7682233
8192, 7592309
8191, 7565253
8192, 8054784
8191, 7965249
8192, 8217209
8191, 10791330
8192, 8355411
8191, 7523494
8192, 8164691
8191, 8009933
8192, 8162450
8191, 7917157
8192, 7784750
8191, 7587882
8192, 7860694
8191, 7511642
8192, 7431310
8191, 7554790
8192, 8155450
8191, 6894945
8192, 7284867
8191, 7277867
8192, 7624623
8191, 7378385
8192, 8281597
8191, 7600049
8192, 7726492
8191, 7685140
8192, 7691845
8191, 7643364
8192, 7505772
8191, 7398829
8192, 7442217
8191, 7591234
8192, 7470588
8191, 7489791
8192, 7021295
8191, 7521735
8192, 7160258
8191, 7287126
8192, 7757751
8191, 7585253
8192, 7239701
8191, 7488253
8192, 7670252
8191, 7942582
8192, 8225727
8191, 7404865
8192, 7511032
8191, 6914704
8192, 7495216
8191, 7600142
8192, 7732566
8191, 7280015
8192, 7436402
8191, 7480198
8192, 7392015
8191, 7449828
8192, 7220035
8191, 7450254
8192, 8461466
8191, 7590586
8192, 6854761
8191, 7514587
8192, 6885427
8191, 7436198
8192, 7483532
8191, 7438198
8192, 7438384
8191, 7114184
8192, 7439736
8191, 7403570
8192, 7442551
8191, 7441606
8192, 7399070
8191, 7715807
8192, 7764936
8191, 7679900
8192, 6899797
8191, 7444458
8192, 7881953
8191, 7355718
8192, 7671214
8191, 7656326
8192, 7945175
8191, 7432013
8192, 7560234
8191, 7465087
8192, 7228794
8191, 7501327
8192, 7555049
8191, 8074766
8192, 7787102
8191, 7618437
8192, 7514550
8191, 6852260
8192, 7492475
8191, 7373810
8192, 7207775
8191, 6832168
8192, 7401274
8191, 6712725
8192, 7493958
8191, 7211886
8192, 7442717
8191, 7341570
8192, 7587826
8191, 7537105
8192, 7669197
8191, 3261983
8192, 2569584
8191, 2500214
8192, 2684453
8191, 2526417
8192, 2537380
8191, 2474825
8192, 2524306
8191, 2423364
8192, 3605591
8191, 3029190
8192, 6551949
8191, 2569936
8192, 2696045
8191, 2623472
8192, 2533121
8191, 2521585
8192, 2540066
8191, 2450048
8192, 2528066
8191, 6694132
8192, 7575346
8191, 7509365
8192, 7812602
8191, 7626956
8192, 10106541
8192, 7525679
8191, 7700159
8192, 7744102
8191, 7650622
8192, 7567142
8191, 7649178
8192, 7560864
8191, 7616456
8192, 7643363
8191, 7687178
8192, 8126821
