Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
608556786364635, 608556786365432, 608556786479356, 608556786495523, 608556786557948, 608556794179265, 8192
608557339571899, 608557339574140, 608557339768119, 608557339828711, 608557339975617, 608557380522454, 8191
608557878687996, 608557878690589, 608557878881512, 608557878941308, 608557879080510, 608557902877952, 8192
608558424697771, 608558424699845, 608558424873917, 608558424933972, 608558425040322, 608558438069021, 8191
608558970809100, 608558970811100, 608558970987635, 608558971045838, 608558971151374, 608558983832947, 8192
608559516896281, 608559516898522, 608559517058872, 608559517132964, 608559517234592, 608559529991923, 8191
608560063016203, 608560063018295, 608560063189145, 608560063247774, 608560063351217, 608560074509104, 8192
608560609026200, 608560609027329, 608560609122106, 608560609141476, 608560609197290, 608560613066374, 8191
608561155833298, 608561155833891, 608561155911316, 608561155931093, 608561156096647, 608561159910621, 8192
608561701899776, 608561701900369, 608561701996553, 608561702016978, 608561702072848, 608561705879396, 8191
608562247353650, 608562247354224, 608562247445556, 608562247465834, 608562247518537, 608562251301733, 8192
608562794095953, 608562794096546, 608562794181489, 608562794201415, 608562794260192, 608562798047906, 8191
608563340250467, 608563340251189, 608563340344614, 608563340364206, 608563340417761, 608563344214142, 8192
608563887680354, 608563887682391, 608563887842501, 608563887902704, 608563888053017, 608563898995814, 8191
608564431834077, 608564431835984, 608564432063315, 608564432126981, 608564432234202, 608564443232294, 8192
608564979907975, 608564979910068, 608564980154454, 608564980217398, 608564980323767, 608564991360915, 8191
608565524059790, 608565524061642, 608565524219344, 608565524279547, 608565524382138, 608565535735042, 8192
608566072134133, 608566072136133, 608566072301687, 608566072360834, 608566072466185, 608566083704145, 8191
608566616225838, 608566616227690, 608566616398854, 608566616458946, 608566616562704, 608566627573686, 8192
608567162906531, 608567162907271, 608567163011603, 608567163031677, 608567163091491, 608567166884280, 8191
608567709040619, 608567709041322, 608567709128006, 608567709147802, 608567709205394, 608567712994220, 8192
608568255105226, 608568255105818, 608568255195743, 608568255216095, 608568255274854, 608568259066346, 8191
608568800553396, 608568800554452, 608568800648580, 608568800668932, 608568800724875, 608568804527997, 8192
608569346643744, 608569346645040, 608569346740261, 608569346761150, 608569346821927, 608569350605771, 8191
608569894919084, 608569894921066, 608569895079768, 608569895139971, 608569895402690, 608569906280284, 8192
608570440942562, 608570440944544, 608570441105098, 608570441167097, 608570441270670, 608570452241615, 8191
608570985019582, 608570985021582, 608570985185154, 608570985245876, 608570985347060, 608570996331708, 8192
608571531095782, 608571531097800, 608571531250206, 608571531310112, 608571531412834, 608571542418074, 8191
608572079223124, 608572079225105, 608572079402622, 608572079462603, 608572079560287, 608572090635823, 8192
608572625355897, 608572625357916, 608572625521821, 608572625583728, 608572625677949, 608572636820558, 8191
608573169351806, 608573169352862, 608573169451064, 608573169471898, 608573169519582, 608573173316612, 8192
608573716091961, 608573716092572, 608573716175423, 608573716195201, 608573716247478, 608573719999119, 8191
608574262278252, 608574262278937, 608574262361325, 608574262380844, 608574262431176, 608574266246280, 8192
608574807702737, 608574807704756, 608574807864439, 608574807925420, 608574810255818, 608574819045993, 8191
608575353889028, 608575353890973, 608575354071878, 608575354131637, 608575354235024, 608575365257061, 8192
608575902030278, 608575902032278, 608575902197998, 608575902258516, 608575902358848, 608575913416162, 8191
608576446089112, 608576446091057, 608576446240499, 608576446299091, 608576446392961, 608576457401183, 8192
608576994272972, 608576994274935, 608576994509729, 608576994574358, 608576994671116, 608577005673171, 8191
608577540104230, 608577540106101, 608577540281543, 608577540342505, 608577540440152, 608577556282373, 8192
608578084218027, 608578084218731, 608578084333896, 608578084355748, 608578084400488, 608578091890159, 8191
608578630497595, 608578630499539, 608578630670852, 608578630731796, 608578630827054, 608578642071477, 8192
608579176499592, 608579176501499, 608579176672386, 608579176732737, 608579176828495, 608579187818810, 8191
608579722644864, 608579722646846, 608579722809474, 608579722869047, 608579722965564, 608579733951620, 8192
608580268706953, 608580268708916, 608580268872488, 608580268932987, 608580269029616, 608580281194936, 8191
608580814842856, 608580814844874, 608580815023761, 608580815084834, 608580815183148, 608580826234499, 8192
