Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
2160803368907786, 2160803368908693, 2160803369013229, 2160803369029229, 2160803369079099, 2160803416317962, 8192
2160803416485978, 2160803416486830, 2160803416514645, 2160803416535719, 2160803416601385, 2160803496895083, 8191
2160803716109495, 2160803716111921, 2160803716313382, 2160803716372233, 2160803716475306, 2160803835723108, 8192
2160804049704207, 2160804049706355, 2160804049891927, 2160804049949631, 2160804050043741, 2160804166736627, 8191
2160804399588164, 2160804399590164, 2160804399783792, 2160804399842847, 2160804399939957, 2160804580441781, 8192
2160804732472533, 2160804732474737, 2160804732674827, 2160804732736419, 2160804732835658, 2160804864502452, 8191
2160805416106515, 2160805416108367, 2160805416271551, 2160805416328587, 2160805416427827, 2160805532967918, 8192
2160805533270693, 2160805533273156, 2160805533348284, 2160805533401469, 2160805533492394, 2160805651602857, 8191
2160805756265210, 2160805756267081, 2160805756387783, 2160805756441190, 2160805756533856, 2160805872899708, 8192
2160806440064376, 2160806440066284, 2160806440243263, 2160806440298911, 2160806440389614, 2160806556932742, 8192
2160806557244998, 2160806557247424, 2160806557311923, 2160806557364145, 2160806557453199, 2160806673582388, 8191
2160806778732829, 2160806778733421, 2160806778800884, 2160806778819624, 2160806778855642, 2160806818788790, 8192
2160807462025482, 2160807462026204, 2160807462128407, 2160807462147184, 2160807462848640, 2160807545600700, 16383
2160807802668950, 2160807802669690, 2160807802772300, 2160807802791596, 2160807802826448, 2160807841697089, 8192
2160808144478423, 2160808144479256, 2160808144580144, 2160808144599736, 2160808144636773, 2160808183466026, 8191
2160808485300018, 2160808485300869, 2160808485402183, 2160808485420701, 2160808485456646, 2160808525827011, 8192
2160808826579811, 2160808826580515, 2160808826680940, 2160808826699847, 2160808826735606, 2160808866649254, 8191
2160809167922327, 2160809167923067, 2160809168045788, 2160809168067084, 2160809168106288, 2160809208375617, 8192
2160809509232453, 2160809509233379, 2160809509335489, 2160809509355211, 2160809509390378, 2160809548983900, 8191
2160809850541025, 2160809850541747, 2160809850606672, 2160809850625135, 2160809850660449, 2160809889416148, 8192
2160810191837004, 2160810191837744, 2160810191935262, 2160810191954280, 2160810191990243, 2160810230980957, 8191
2160810534592596, 2160810534594577, 2160810534770297, 2160810534828149, 2160810534913185, 2160810651227279, 8192
2160810875889667, 2160810875891852, 2160810876097961, 2160810876159516, 2160810876247108, 2160810992663664, 8191
2160811217243812, 2160811217245812, 2160811217403236, 2160811217461439, 2160811217549309, 2160811333730275, 8192
2160811558535995, 2160811558538013, 2160811558703641, 2160811558761363, 2160811558848158, 2160811675019513, 8191
2160811899817400, 2160811899819307, 2160811899954417, 2160811900044156, 2160811900137711, 2160812016500119, 8192
2160812241173822, 2160812241175711, 2160812241277451, 2160812241331080, 2160812241414023, 2160812358827624, 8191
2160812582547300, 2160812582549319, 2160812582768150, 2160812582826149, 2160812582915519, 2160812702259023, 8192
2160812923775484, 2160812923777502, 2160812923951500, 2160812924035185, 2160812924131202, 2160813040373334, 8191
2160813265101111, 2160813265103055, 2160813265221868, 2160813265276905, 2160813265361015, 2160813381477371, 8192
2160813606365794, 2160813606367738, 2160813606491644, 2160813606546866, 2160813606634735, 2160813723543415, 8191
2160813946298510, 2160813946299195, 2160813946372102, 2160813946391065, 2160813946425935, 2160813987070204, 8192
2160814287584619, 2160814287585285, 2160814287687451, 2160814287706414, 2160814287742673, 2160814326507482, 8191
2160814628911375, 2160814628912153, 2160814629002670, 2160814629021893, 2160814629057688, 2160814667906182, 8192
2160814970203799, 2160814970204521, 2160814970277335, 2160814970295835, 2160814970331649, 2160815009101644, 8191
