Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130245978329389, 1130245978330982, 1130245978440110, 1130245978456943, 1130245979140509, 1130245982689191, 16383
1130245983572033, 1130245983573126, 1130245983686439, 1130245983707198, 1130245983767216, 1130245986318373, 8192
1130245986371039, 1130245986371650, 1130245986441686, 1130245986460260, 1130245986510593, 1130245989034786, 8191
1130245989784518, 1130245989786463, 1130245989894739, 1130245989914350, 1130245990193347, 1130245993075740, 16383
1130245994571964, 1130245994572890, 1130245994675056, 1130245994696000, 1130245994871961, 1130245998013592, 16383
1130245998862193, 1130245998862804, 1130245998956322, 1130245998976377, 1130245999023210, 1130246001101261, 8192
1130246001159353, 1130246001159964, 1130246001215778, 1130246001230148, 1130246001276777, 1130246002626706, 8191
1130246004189892, 1130246004190726, 1130246004342057, 1130246004364538, 1130246004537962, 1130246007338245, 16383
1130246008857358, 1130246008859710, 1130246008956246, 1130246008976005, 1130246009167447, 1130246011756177, 16383
1130246012635815, 1130246012636871, 1130246012736444, 1130246012757036, 1130246012801498, 1130246014279037, 8192
1130246015783039, 1130246015784205, 1130246015978240, 1130246016084906, 1130246016309496, 1130246019089223, 16383
1130246020232655, 1130246020235970, 1130246020584614, 1130246020644484, 1130246020765334, 1130246022660998, 8192
1130246024201814, 1130246024202536, 1130246024306590, 1130246024323331, 1130246024502069, 1130246027173613, 16383
1130246028657930, 1130246028659245, 1130246028739336, 1130246028755632, 1130246028922575, 1130246031460917, 16383
1130246032322333, 1130246032323055, 1130246032399591, 1130246032415165, 1130246032461831, 1130246033784464, 8192
1130246035222948, 1130246035223874, 1130246035308632, 1130246035327521, 1130246035481741, 1130246038086934, 16383
1130246039543103, 1130246039544381, 1130246039652287, 1130246039672879, 1130246039869766, 1130246042526236, 16383
1130246043378152, 1130246043379337, 1130246043488169, 1130246043515076, 1130246043563076, 1130246044996800, 8192
1130246046488228, 1130246046489450, 1130246046608319, 1130246046629059, 1130246046828520, 1130246049436917, 16383
1130246050913548, 1130246050916826, 1130246051109435, 1130246051147175, 1130246051460468, 1130246054522692, 16383
1130246055487700, 1130246055489441, 1130246055711716, 1130246055746197, 1130246055830455, 1130246057597750, 8192
1130246059224232, 1130246059226102, 1130246059476358, 1130246059510525, 1130246059793873, 1130246062860468, 16383
1130246064513505, 1130246064516949, 1130246064727428, 1130246064766447, 1130246065123998, 1130246067805986, 16383
1130246068679902, 1130246068680902, 1130246068772234, 1130246068791642, 1130246068838808, 1130246070213403, 8192
1130246071692701, 1130246071693738, 1130246071801515, 1130246071822885, 1130246072030235, 1130246074624613, 16383
1130246076111874, 1130246076113336, 1130246076213854, 1130246076231446, 1130246076407778, 1130246079016637, 16383
1130246079848276, 1130246079849442, 1130246079938423, 1130246079957552, 1130246080027718, 1130246081502201, 8192
1130246082970981, 1130246082971925, 1130246083080998, 1130246083098313, 1130246083267700, 1130246086065224, 16383
1130246086887807, 1130246086888918, 1130246086976047, 1130246086993380, 1130246087042435, 1130246088445104, 8192
1130246089918532, 1130246089919773, 1130246090030512, 1130246090051808, 1130246090221417, 1130246092845962, 16383
1130246094364982, 1130246094366963, 1130246094577868, 1130246094614627, 1130246094907161, 1130246097714147, 16383
1130246098555416, 1130246098556545, 1130246098662822, 1130246098681784, 1130246098715303, 1130246100187656, 8192
1130246101682732, 1130246101684028, 1130246101809953, 1130246101828823, 1130246102015173, 1130246104697679, 16383
1130246106149774, 1130246106151255, 1130246106245773, 1130246106263180, 1130246106437511, 1130246109244924, 16383
1130246110056989, 1130246110058156, 1130246110137858, 1130246110153654, 1130246110210728, 1130246111532324, 8192
1130246112988845, 1130246112989789, 1130246113077455, 1130246113092677, 1130246113227286, 1130246115738776, 16383
1130246117074817, 1130246117075576, 1130246117141260, 1130246117156686, 1130246117184130, 1130246118484301, 8192
1130246119480493, 1130246119481197, 1130246119514937, 1130246119528937, 1130246119648380, 1130246122134926, 16383
1130246122889640, 1130246122890251, 1130246122918306, 1130246122931250, 1130246122963620, 1130246124208421, 8192
1130246125582906, 1130246125583535, 1130246125617368, 1130246125631016, 1130246125741996, 1130246128211598, 16383
1130246129592360, 1130246129593027, 1130246129620693, 1130246129633730, 1130246129741118, 1130246132195034, 16383
1130246132950563, 1130246132951174, 1130246133002451, 1130246133016821, 1130246133057080, 1130246134406732, 8192
1130246134448620, 1130246134449342, 1130246134500545, 1130246134515508, 1130246134555471, 1130246135856826, 8191
1130246135902455, 1130246135903066, 1130246135962658, 1130246135978695, 1130246136050861, 1130246137599806, 8192
1130246137741286, 1130246137742194, 1130246137857729, 1130246137874655, 1130246137926562, 1130246139324546, 8191
1130246139375601, 1130246139376212, 1130246139421378, 1130246139438249, 1130246139481193, 1130246140714753, 8192
1130246140740252, 1130246140740863, 1130246140766734, 1130246140780863, 1130246140812789, 1130246141984535, 8191
1130246142008664, 1130246142009294, 1130246142031441, 1130246142045386, 1130246142070219, 1130246143225095, 8192
1130246143243965, 1130246143244705, 1130246143267131, 1130246143280353, 1130246143302538, 1130246144491099, 8191
1130246144513432, 1130246144514024, 1130246144538932, 1130246144552005, 1130246144575950, 1130246145729881, 8192
1130246145749029, 1130246145749714, 1130246145772492, 1130246145785380, 1130246145807991, 1130246146964404, 8191
1130246146982737, 1130246146983330, 1130246147003663, 1130246147016737, 1130246147039255, 1130246148226223, 8192
1130246148249019, 1130246148249612, 1130246148274185, 1130246148287259, 1130246148312704, 1130246149484394, 8191
1130246149508301, 1130246149508912, 1130246149542782, 1130246149557393, 1130246149587967, 1130246150892748, 8192
1130246150947951, 1130246150948766, 1130246151022543, 1130246151040932, 1130246151088839, 1130246152726394, 8191
1130246152777783, 1130246152778505, 1130246152901077, 1130246152928318, 1130246153019576, 1130246154359857, 8192
1130246154397246, 1130246154397949, 1130246154432782, 1130246154448653, 1130246154486911, 1130246155671713, 8191
1130246155695398, 1130246155696009, 1130246155719620, 1130246155733082, 1130246155761101, 1130246156964457, 8192
1130246156988105, 1130246156988698, 1130246157014031, 1130246157027197, 1130246157053308, 1130246158216665, 8191
1130246158238147, 1130246158238869, 1130246158263035, 1130246158276109, 1130246158299553, 1130246159454577, 8192
1130246159473484, 1130246159474281, 1130246159496725, 1130246159509836, 1130246159532706, 1130246160719452, 8191
1130246160740415, 1130246160741155, 1130246160763933, 1130246160776951, 1130246160800266, 1130246161960253, 8192
1130246161980363, 1130246161981067, 1130246162004178, 1130246162017956, 1130246162040955, 1130246163194961, 8191
1130246163216461, 1130246163217053, 1130246163239423, 1130246163252405, 1130246163276071, 1130246164501261, 8192
1130246164526242, 1130246164526927, 1130246164552464, 1130246164565538, 1130246164591501, 1130246165758228, 8191
1130246165779228, 1130246165779857, 1130246165803154, 1130246165816302, 1130246165840431, 1130246167124601, 8192
1130246167169897, 1130246167170527, 1130246167219471, 1130246167236415, 1130246167276100, 1130246168673788, 8191
1130246168713324, 1130246168714065, 1130246168753787, 1130246168768546, 1130246168810156, 1130246170489545, 8192
1130246170641228, 1130246170642747, 1130246170764505, 1130246170781893, 1130246170826930, 1130246172462522, 8191
1130246172505078, 1130246172505707, 1130246172539096, 1130246172553244, 1130246172593836, 1130246173817822, 8192
1130246173842970, 1130246173843581, 1130246173869451, 1130246173884173, 1130246173916562, 1130246184930863, 8191
1130246184998936, 1130246184999658, 1130246185070602, 1130246185086787, 1130246185144823, 1130246186929951, 8192
1130246187198911, 1130246187200689, 1130246187285984, 1130246187303817, 1130246187356650, 1130246188674228, 8191
1130246189305572, 1130246189306406, 1130246189373386, 1130246189387868, 1130246189422441, 1130246190696983, 8192
1130246190752963, 1130246190753741, 1130246190787500, 1130246190802407, 1130246190844222, 1130246192342223, 8191
1130246192450518, 1130246192451129, 1130246192540999, 1130246192556739, 1130246192609220, 1130246193958816, 8192
1130246194138369, 1130246194139018, 1130246194188647, 1130246194203554, 1130246194248424, 1130246195484651, 8191
1130246195567724, 1130246195568316, 1130246195598242, 1130246195612038, 1130246195644982, 1130246196850783, 8192
1130246196928782, 1130246196929430, 1130246196956986, 1130246196969763, 1130246196995670, 1130246198169028, 8191
1130246198320711, 1130246198321322, 1130246198352433, 1130246198366229, 1130246198392988, 1130246199558234, 8192
1130246199838546, 1130246199839231, 1130246199885267, 1130246199900489, 1130246199932952, 1130246201255307, 8191
1130246201387454, 1130246201388065, 1130246201440324, 1130246201456546, 1130246201501582, 1130246202992769, 8192
1130246203114879, 1130246203115712, 1130246203157397, 1130246203173471, 1130246203219415, 1130246204974117, 8191
1130246205252244, 1130246205253095, 1130246205403575, 1130246205425130, 1130246205527000, 1130246206750319, 8192
1130246206880892, 1130246206881540, 1130246206910725, 1130246206924595, 1130246206956521, 1130246208172599, 8191
1130246208253543, 1130246208254154, 1130246208282357, 1130246208295487, 1130246208321098, 1130246209484955, 8192
1130246209555436, 1130246209556065, 1130246209579435, 1130246209593120, 1130246209619527, 1130246210780070, 8191
1130246210847013, 1130246210847625, 1130246210869717, 1130246210883161, 1130246210906031, 1130246212084074, 8192
1130246212188017, 1130246212188665, 1130246212215239, 1130246212228590, 1130246212254905, 1130246213417892, 8191
1130246213491132, 1130246213491761, 1130246213517094, 1130246213530779, 1130246213554631, 1130246214725507, 8192
1130246214798265, 1130246214798858, 1130246214822357, 1130246214835598, 1130246214861227, 1130246216038584, 8191
1130246216115917, 1130246216116546, 1130246216151953, 1130246216166787, 1130246216196971, 1130246217497901, 8192
1130246217592733, 1130246217593381, 1130246217642714, 1130246217658733, 1130246217701491, 1130246219201845, 8191
1130246219253140, 1130246219253881, 1130246219315380, 1130246219332899, 1130246219376658, 1130246220719328, 8192
1130246220766346, 1130246220766920, 1130246220802475, 1130246220815808, 1130246220852178, 1130246222042442, 8191
1130246222066442, 1130246222067034, 1130246222090997, 1130246222104738, 1130246222132497, 1130246223295076, 8192
1130246223315965, 1130246223316761, 1130246223339150, 1130246223352298, 1130246223377594, 1130246224592061, 8191
1130246224615802, 1130246224616394, 1130246224640783, 1130246224654561, 1130246224680931, 1130246225845473, 8192
1130246225868195, 1130246225868788, 1130246225891324, 1130246225904713, 1130246225929306, 1130246227086663, 8191
1130246227105700, 1130246227106292, 1130246227127922, 1130246227142644, 1130246227165662, 1130246228354204, 8192
1130246228379704, 1130246228380426, 1130246228405037, 1130246228418166, 1130246228445407, 1130246229612412, 8191
1130246229633523, 1130246229634097, 1130246229656319, 1130246229669782, 1130246229692967, 1130246230845454, 8192
1130246230865583, 1130246230866435, 1130246230887416, 1130246230901008, 1130246230924175, 1130246232107569, 8191
1130246232132291, 1130246232132865, 1130246232154754, 1130246232168105, 1130246232192012, 1130246233459979, 8192
1130246233507553, 1130246233508386, 1130246233556701, 1130246233574349, 1130246233618459, 1130246234930296, 8191
1130246234987370, 1130246234987962, 1130246235028665, 1130246235046147, 1130246235091220, 1130246236623592, 8192
1130246236773423, 1130246236774442, 1130246237017272, 1130246237060531, 1130246237153493, 1130246238718624, 8191
1130246238767456, 1130246238768030, 1130246238846307, 1130246238863566, 1130246238941269, 1130246240276902, 8192
1130246240426678, 1130246240427660, 1130246240471993, 1130246240488585, 1130246240524270, 1130246241720608, 8191
1130246241752867, 1130246241753960, 1130246241787515, 1130246241801959, 1130246241833644, 1130246243015297, 8192
1130246243040612, 1130246243041223, 1130246243063241, 1130246243077593, 1130246243105592, 1130246244306023, 8191
1130246244333412, 1130246244334375, 1130246244357615, 1130246244370874, 1130246244396911, 1130246245562028, 8192
1130246245584120, 1130246245584861, 1130246245607194, 1130246245620823, 1130246245647212, 1130246246805643, 8191
1130246246825717, 1130246246826328, 1130246246847328, 1130246246860346, 1130246246882735, 1130246248063703, 8192
1130246248087277, 1130246248088129, 1130246248114165, 1130246248128184, 1130246248153165, 1130246249315078, 8191
1130246249336374, 1130246249337096, 1130246249358281, 1130246249371744, 1130246249394614, 1130246250632118, 8192
1130246250672321, 1130246250673044, 1130246250712136, 1130246250728765, 1130246250767598, 1130246252281285, 8191
1130246252329988, 1130246252330766, 1130246252370932, 1130246252385376, 1130246252434246, 1130246253786823, 8192
1130246253935081, 1130246253936655, 1130246254044061, 1130246254082505, 1130246254177708, 1130246255573821, 8191
1130246255614580, 1130246255615395, 1130246255648265, 1130246255663709, 1130246255698302, 1130246256918417, 8192
1130246256944250, 1130246256944936, 1130246256970250, 1130246256983583, 1130246257016268, 1130246258189125, 8191
1130246258210847, 1130246258211588, 1130246258234606, 1130246258248180, 1130246258272087, 1130246259433222, 8192
1130246259455259, 1130246259456037, 1130246259478907, 1130246259492407, 1130246259516499, 1130246260712245, 8191
1130246260733800, 1130246260734393, 1130246260757318, 1130246260770781, 1130246260793744, 1130246261957805, 8192
1130246261979267, 1130246261979990, 1130246262003175, 1130246262016693, 1130246262042007, 1130246263201494, 8191
1130246263220809, 1130246263221401, 1130246263243438, 1130246263257068, 1130246263279290, 1130246264531090, 8192
1130246264558164, 1130246264558757, 1130246264583219, 1130246264596701, 1130246264622737, 1130246265789983, 8191
1130246265811650, 1130246265812354, 1130246265834242, 1130246265847353, 1130246265870408, 1130246267026655, 8192
1130246267046951, 1130246267047525, 1130246267069636, 1130246267083395, 1130246267106709, 1130246268429583, 8191
1130246268476842, 1130246268477435, 1130246268524582, 1130246268539360, 1130246268582063, 1130246269890085, 8192
1130246269942233, 1130246269942936, 1130246269982066, 1130246269997806, 1130246270031584, 1130246271693417, 8191
1130246271846044, 1130246271847544, 1130246271966802, 1130246271986432, 1130246272060764, 1130246273308861, 8192
1130246273340139, 1130246273340842, 1130246273369824, 1130246273383546, 1130246273416379, 1130246274595273, 8191
1130246274618291, 1130246274618920, 1130246274639883, 1130246274652920, 1130246274676864, 1130246275836759, 8192
1130246275858258, 1130246275858869, 1130246275880610, 1130246275893832, 1130246275916628, 1130246277126744, 8191
1130246277151670, 1130246277152262, 1130246277176280, 1130246277189614, 1130246277213428, 1130246278380896, 8192
1130246278401841, 1130246278402563, 1130246278425118, 1130246278438414, 1130246278465932, 1130246279754214, 8191
1130246279778992, 1130246279779584, 1130246279802214, 1130246279816306, 1130246279841824, 1130246281034959, 8192
1130246281057996, 1130246281058718, 1130246281082051, 1130246281095606, 1130246281121328, 1130246282281704, 8191
1130246282303574, 1130246282304407, 1130246282325537, 1130246282338629, 1130246282361314, 1130246283646689, 8192
1130246283693299, 1130246283693910, 1130246283739002, 1130246283756410, 1130246283798761, 1130246285182616, 8191
1130246285232819, 1130246285233634, 1130246285268041, 1130246285285744, 1130246285347206, 1130246287099538, 8192
1130246287249333, 1130246287250129, 1130246287303555, 1130246287320888, 1130246287361813, 1130246288606669, 8191
1130246288637151, 1130246288637743, 1130246288663354, 1130246288676446, 1130246288704557, 1130246289878673, 8192
1130246289900432, 1130246289901025, 1130246289923840, 1130246289936821, 1130246289963710, 1130246291126974, 8191
1130246291269306, 1130246291269973, 1130246291305972, 1130246291321879, 1130246291348842, 1130246292553514, 8192
1130246292579680, 1130246292580291, 1130246292603772, 1130246292617439, 1130246292647068, 1130246293811962, 8191
1130246293834110, 1130246293834869, 1130246293856943, 1130246293870350, 1130246293894887, 1130246295053967, 8192
1130246295075652, 1130246295076281, 1130246295099040, 1130246295112670, 1130246295138447, 1130246296338156, 8191
1130246296362693, 1130246296363470, 1130246296386137, 1130246296399285, 1130246296423044, 1130246297585957, 8192
1130246297605641, 1130246297606253, 1130246297628493, 1130246297642252, 1130246297667067, 1130246298824035, 8191
1130246298842757, 1130246298843387, 1130246298864331, 1130246298877664, 1130246298900238, 1130246300106039, 8192
1130246300133557, 1130246300134168, 1130246300163001, 1130246300178372, 1130246300215519, 1130246301532875, 8191
1130246301575985, 1130246301576615, 1130246301625689, 1130246301642577, 1130246301680095, 1130246302971988, 8192
1130246303013969, 1130246303014562, 1130246303050432, 1130246303065506, 1130246303100913, 1130246304330917, 8191
1130246304357991, 1130246304358658, 1130246304384324, 1130246304398139, 1130246304428453, 1130246305635421, 8192
1130246305668513, 1130246305669087, 1130246305703327, 1130246305719346, 1130246305753697, 1130246306925499, 8191
1130246306948795, 1130246306949554, 1130246306973072, 1130246306986813, 1130246307011535, 1130246308202670, 8192
1130246308229021, 1130246308229780, 1130246308255502, 1130246308269132, 1130246308293724, 1130246309456933, 8191
1130246309478525, 1130246309479118, 1130246309502988, 1130246309516247, 1130246309538877, 1130246310697289, 8192
1130246310716974, 1130246310717678, 1130246310740159, 1130246310754122, 1130246310777437, 1130246311932553, 8191
1130246311953312, 1130246311954034, 1130246311975682, 1130246311989608, 1130246312032774, 1130246313206020, 8192
1130246313229020, 1130246313229594, 1130246313250779, 1130246313263816, 1130246313289167, 1130246314494154, 8191
1130246314517098, 1130246314517691, 1130246314539338, 1130246314552968, 1130246314576171, 1130246315733121, 8192
1130246315757584, 1130246315758177, 1130246315785454, 1130246315799528, 1130246315827528, 1130246317163753, 8191
1130246317202345, 1130246317203179, 1130246317250863, 1130246317266548, 1130246317305640, 1130246318592922, 8192
1130246318639070, 1130246318640033, 1130246318686569, 1130246318704643, 1130246318748013, 1130246320104442, 8191
1130246320153145, 1130246320153923, 1130246320199719, 1130246320224033, 1130246320294866, 1130246321678776, 8192
1130246321732201, 1130246321732794, 1130246321768608, 1130246321784349, 1130246321827386, 1130246323042872, 8191
1130246323071927, 1130246323072520, 1130246323096204, 1130246323110815, 1130246323138297, 1130246324356783, 8192
1130246324385764, 1130246324386468, 1130246324410375, 1130246324424004, 1130246324451782, 1130246325622435, 8191
1130246325645768, 1130246325646694, 1130246325669749, 1130246325683083, 1130246325706342, 1130246326864014, 8192
1130246326883680, 1130246326884402, 1130246326906402, 1130246326919680, 1130246326945679, 1130246328131740, 8191
1130246328157518, 1130246328158221, 1130246328185091, 1130246328198610, 1130246328222609, 1130246329382818, 8192
1130246329404652, 1130246329405263, 1130246329427244, 1130246329440447, 1130246329465984, 1130246330619341, 8191
1130246330638489, 1130246330639100, 1130246330660008, 1130246330672952, 1130246330694748, 1130246331851420, 8192
1130246331870550, 1130246331871309, 1130246331893679, 1130246331906975, 1130246331931086, 1130246333190238, 8191
1130246333229738, 1130246333230330, 1130246333268034, 1130246333283830, 1130246333318607, 1130246334509353, 8192
1130246334534612, 1130246334535204, 1130246334558815, 1130246334572686, 1130246334599926, 1130246335768135, 8191
1130246335790153, 1130246335790727, 1130246335815394, 1130246335829671, 1130246335852634, 1130246337047991, 8192
1130246337072435, 1130246337073028, 1130246337096546, 1130246337109657, 1130246337139397, 1130246338306125, 8191
1130246338450456, 1130246338451271, 1130246338486863, 1130246338502678, 1130246338527974, 1130246339704424, 8192
1130246339728405, 1130246339729016, 1130246339752756, 1130246339766979, 1130246339792682, 1130246340986094, 8191
