Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
8264083250623, 8264083251326, 8264083356455, 8264083372510, 8264083425899, 8264108428299, 8192
8264108700481, 8264108703037, 8264108747351, 8264108759925, 8264108856183, 8264144231985, 8191
8264144382853, 8264144383687, 8264144409057, 8264144421075, 8264144477389, 8264162462203, 8192
8264162585017, 8264162585702, 8264162606035, 8264162622627, 8264162691219, 8264172884140, 8191
8264173014343, 8264173015176, 8264173036176, 8264173054138, 8264173104323, 8264188178559, 8192
8264188355353, 8264188356168, 8264188382353, 8264188401705, 8264188452334, 8264199198137, 8191
8264204310838, 8264204311635, 8264204422819, 8264204438522, 8264204523410, 8264216293443, 8192
8264217180248, 8264217181007, 8264217239580, 8264217277302, 8264217865332, 8264246810225, 16383
8264248322356, 8264248322986, 8264248410189, 8264248424337, 8264248629205, 8264282111268, 16383
8264283828378, 8264283829508, 8264283967266, 8264283998451, 8264284406798, 8264311399824, 16383
8264312251722, 8264312252314, 8264312320369, 8264312333610, 8264312377998, 8264326777742, 8192
8264326873241, 8264326873926, 8264326892648, 8264326909796, 8264326953962, 8264341366909, 8191
8264342147308, 8264342148067, 8264342169641, 8264342186604, 8264342314510, 8264367094542, 16383
8264368532711, 8264368533526, 8264368563878, 8264368576396, 8264368709283, 8264391157621, 16383
8264392602604, 8264392603419, 8264392628400, 8264392639974, 8264392775954, 8264414511114, 16383
8264415943191, 8264415943857, 8264415981838, 8264415994172, 8264416178336, 8264440478763, 16383
8264441286199, 8264441286921, 8264441310384, 8264441327643, 8264441365364, 8264451453990, 8192
8264452242500, 8264452243352, 8264452268296, 8264452284814, 8264452433350, 8264472413030, 16383
8264473839477, 8264473840254, 8264473866032, 8264473878717, 8264473999271, 8264493987488, 16383
8264494782664, 8264494783386, 8264494804220, 8264494819979, 8264494858997, 8264505347952, 8192
8264506123072, 8264506123795, 8264506146109, 8264506163442, 8264506287922, 8264526934447, 16383
8264528376616, 8264528377578, 8264528405467, 8264528418319, 8264528537891, 8264548837179, 16383
8264550254644, 8264550255459, 8264550289366, 8264550308144, 8264550430957, 8264570804744, 16383
8264571610161, 8264571610902, 8264571632161, 8264571644586, 8264571678771, 8264581956451, 8192
8264582715942, 8264582716794, 8264582736108, 8264582751960, 8264582873088, 8264602942323, 16383
8264604385825, 8264604386658, 8264604417788, 8264604430306, 8264604557008, 8264624542799, 16383
8264625974172, 8264625974987, 8264625997098, 8264626013320, 8264626124059, 8264646102147, 16383
8264647523557, 8264647524408, 8264647546649, 8264647558964, 8264647676796, 8264667608736, 16383
8264668420263, 8264668420986, 8264668444893, 8264668460948, 8264668504855, 8264678572944, 8192
8264679333343, 8264679334176, 8264679363843, 8264679380713, 8264679504600, 8264699552169, 16383
8264701009874, 8264701010578, 8264701038281, 8264701050503, 8264701179891, 8264722668794, 16383
8264723526970, 8264723527562, 8264723593099, 8264723615895, 8264723659635, 8264735957828, 8192
8264736921114, 8264736921929, 8264736990261, 8264737002483, 8264737222499, 8264758018448, 16383
8264759494746, 8264759495653, 8264759567523, 8264759580782, 8264759742280, 8264791023165, 16383
8264793060309, 8264793061031, 8264793254232, 8264793270343, 8264793542803, 8264822218644, 16383
8264823770515, 8264823771552, 8264823880643, 8264823894495, 8264824359508, 8264871630415, 16383
8264874825045, 8264874826138, 8264874924785, 8264874939859, 8264875112801, 8264904473264, 16383
8264905352087, 8264905352920, 8264905415605, 8264905429956, 8264905470382, 8264917942370, 8192
8264918067627, 8264918068498, 8264918091868, 8264918112794, 8264918164386, 8264929789883, 8191
8264930615633, 8264930616429, 8264930645984, 8264930665984, 8264930801149, 8264964969983, 16383
8264965831751, 8264965832362, 8264965902695, 8264965916361, 8264965957009, 8264989508167, 8192
8264990343898, 8264990344639, 8264990396768, 8264990416897, 8264990569284, 8265019818285, 16383
8265021320009, 8265021320916, 8265021408359, 8265021422322, 8265024312826, 8265054170691, 16383
8265055898578, 8265055899597, 8265056030762, 8265056051965, 8265057087972, 8265086764912, 16383
8265088264118, 8265088264803, 8265088343987, 8265088357357, 8265088534170, 8265119579058, 16383
8265121050337, 8265121050985, 8265121138318, 8265121152318, 8265121314371, 8265143033476, 16383
8265143843504, 8265143844245, 8265143864541, 8265143880485, 8265143921484, 8265154040666, 8192
8265154857971, 8265154858675, 8265154913359, 8265154935433, 8265155077895, 8265175108259, 16383
8265176583872, 8265176584687, 8265176753981, 8265176774203, 8265176959035, 8265198794194, 16383
8265200386972, 8265200387768, 8265200425379, 8265200442175, 8265200570822, 8265221047126, 16383
8265221853061, 8265221853783, 8265221876561, 8265221888727, 8265221917783, 8265231984520, 8192
8265232744419, 8265232745252, 8265232765104, 8265232781585, 8265232898954, 8265252751265, 16383
8265254187156, 8265254187953, 8265254208600, 8265254220989, 8265254335988, 8265274242280, 16383
8265275677949, 8265275678745, 8265275699837, 8265275716115, 8265275825725, 8265295754406, 16383
8265297218963, 8265297219667, 8265297302925, 8265297315888, 8265297569774, 8265319410655, 16383
8265320881935, 8265320882694, 8265320906045, 8265320917712, 8265321047062, 8265340940447, 16383
8265341745420, 8265341746142, 8265341770456, 8265341783049, 8265341816345, 8265351894045, 8192
8265352666610, 8265352667443, 8265352688980, 8265352704517, 8265352822868, 8265372898899, 16383
8265373688316, 8265373689001, 8265373719482, 8265373732852, 8265373768315, 8265383825478, 8192
8265383901273, 8265383901977, 8265383919181, 8265383935477, 8265383978236, 8265393998103, 8191
8265394062436, 8265394063121, 8265394079121, 8265394095102, 8265394136361, 8265404141691, 8192
8265404224302, 8265404225079, 8265404245579, 8265404263523, 8265404304060, 8265414283261, 8191
8265414348390, 8265414349112, 8265414368019, 8265414383797, 8265414421648, 8265424421164, 8192
8265424496941, 8265424497849, 8265424515941, 8265424534533, 8265424583422, 8265434698844, 8191
8265434803250, 8265434803917, 8265434823713, 8265434840824, 8265434893453, 8265444867247, 8192
8265444934727, 8265444935431, 8265444951783, 8265444965134, 8265445010986, 8265455177852, 8191
8265455249110, 8265455249832, 8265455265702, 8265455282147, 8265455318461, 8265465275885, 8192
8265465340014, 8265465340792, 8265465356791, 8265465373736, 8265465407809, 8265476054910, 8191
8265476117558, 8265476118336, 8265476135132, 8265476150761, 8265476182057, 8265486106796, 8192
8265486165258, 8265486166129, 8265486181369, 8265486196888, 8265486227035, 8265496156774, 8191
8265496210237, 8265496210940, 8265496226792, 8265496242810, 8265496271199, 8265506247400, 8192
8265506324844, 8265506325844, 8265506342918, 8265506359084, 8265506396436, 8265516374026, 8191
8265516438192, 8265516438858, 8265516455025, 8265516470710, 8265516505376, 8265526442300, 8192
8265526500151, 8265526501003, 8265526516966, 8265526532262, 8265526564317, 8265536512612, 8191
8265536568667, 8265536569500, 8265536585907, 8265536600777, 8265536630444, 8265546670515, 8192
8265546730107, 8265546730829, 8265546745884, 8265546763865, 8265546804328, 8265556928379, 8191
8265557031415, 8265557032249, 8265557050878, 8265557067137, 8265557113748, 8265567408445, 8192
8265567475204, 8265567476000, 8265567491444, 8265567506833, 8265567543944, 8265577496590, 8191
8265577555145, 8265577556126, 8265577572645, 8265577588774, 8265577620311, 8265587554716, 8192
8265587612067, 8265587612882, 8265587628827, 8265587644197, 8265587673900, 8265597619991, 8191
8265597677934, 8265597678731, 8265597694990, 8265597711323, 8265597743582, 8265607722820, 8192
8265607794375, 8265607795171, 8265607812171, 8265607828875, 8265607866670, 8265617845687, 8191
8265617906297, 8265617907001, 8265617922982, 8265617938334, 8265617976333, 8265627908294, 8192
8265627962849, 8265627963664, 8265627979664, 8265627995312, 8265628039756, 8265637973309, 8191
8265638030957, 8265638031753, 8265638047605, 8265638063105, 8265638094290, 8265648096713, 8192
8265648154712, 8265648155601, 8265648171564, 8265648188101, 8265648220822, 8265658654741, 8191
8265658978478, 8265658979348, 8265658997274, 8265659010181, 8265659054570, 8265669064863, 8192
8265669132788, 8265669133751, 8265669149733, 8265669167658, 8265669203491, 8265679339228, 8191
8265679431782, 8265679432745, 8265679449264, 8265679465652, 8265679507041, 8265689495779, 8192
8265689558519, 8265689559315, 8265689575204, 8265689590778, 8265689625666, 8265699666404, 8191
8265699759458, 8265699760273, 8265699778699, 8265699790717, 8265699839180, 8265709826214, 8192
8265709891028, 8265709891936, 8265709908880, 8265709924454, 8265709958583, 8265719918377, 8191
8265719982284, 8265719983136, 8265719999265, 8265720027358, 8265720064357, 8265730005707, 8192
8265730064336, 8265730065132, 8265730081280, 8265730097965, 8265730128761, 8265740069759, 8191
8265740127999, 8265740128814, 8265740144721, 8265740160721, 8265740190702, 8265750114015, 8192
8265750168663, 8265750169496, 8265750186218, 8265750201422, 8265750229533, 8265760575674, 8191
8265760650599, 8265760651433, 8265760668451, 8265760685228, 8265760716043, 8265770677855, 8192
8265770746614, 8265770747318, 8265770764262, 8265770781058, 8265770818243, 8265780761074, 8191
8265780824629, 8265780825759, 8265780843981, 8265780856536, 8265780899295, 8265791116660, 8192
8265791185511, 8265791186344, 8265791202826, 8265791220140, 8265791261621, 8265802218645, 8191
8265802307607, 8265802308366, 8265802324718, 8265802340940, 8265802383217, 8265812455769, 8192
8265812524898, 8265812525694, 8265812540824, 8265812556324, 8265812593712, 8265822574950, 8191
8265822639190, 8265822639931, 8265822655894, 8265822671190, 8265822707041, 8265832660687, 8192
8265832719261, 8265832720057, 8265832735427, 8265832751261, 8265832783538, 8265842726147, 8191
8265842784924, 8265842785720, 8265842801331, 8265842816776, 8265842848016, 8265852974068, 8192
8265853037530, 8265853038400, 8265853053844, 8265853069104, 8265853101862, 8265863057138, 8191
8265863113323, 8265863114100, 8265863129619, 8265863144822, 8265863177266, 8265873223800, 8192
8265873295022, 8265873295836, 8265873311614, 8265873327521, 8265873363836, 8265883606515, 8191
8265883676663, 8265883677385, 8265883693126, 8265883705311, 8265883745032, 8265894530669, 8192
8265894597187, 8265894597890, 8265894613631, 8265894629909, 8265894667075, 8265904754386, 8191
8265904855200, 8265904856089, 8265904874162, 8265904891773, 8265904938551, 8265915060676, 8192
8265915141990, 8265915142990, 8265915160582, 8265915172767, 8265915230841, 8265925926441, 8191
8265926017366, 8265926018181, 8265926035014, 8265926051514, 8265926095421, 8265936948798, 8192
8265937032945, 8265937033741, 8265937050926, 8265937067333, 8265937105111, 8265947112756, 8191
8265947176959, 8265947177792, 8265947193922, 8265947208736, 8265947243458, 8265957300103, 8192
8265957360491, 8265957361176, 8265957377732, 8265957392750, 8265957424676, 8265968219905, 8191
8265968290404, 8265968291200, 8265968307348, 8265968323478, 8265968358348, 8265979087096, 8192
8265979156058, 8265979156725, 8265979172928, 8265979188002, 8265979221335, 8265989162426, 8191
8265989220184, 8265989220888, 8265989236721, 8265989253091, 8265989283832, 8265999266292, 8192
8265999335551, 8265999336421, 8265999352588, 8265999368180, 8265999403383, 8266009499750, 8191
8266009568583, 8266009569360, 8266009585027, 8266009601230, 8266009638119, 8266019595432, 8192
8266019656412, 8266019657135, 8266019673097, 8266019688968, 8266019721486, 8266029743964, 8191
8266029813371, 8266029814167, 8266029830593, 8266029846963, 8266029883629, 8266039842572, 8192
8266039904182, 8266039904997, 8266039920793, 8266039938533, 8266039973848, 8266050098659, 8191
8266050190509, 8266050191324, 8266050210806, 8266050228639, 8266050273397, 8266060254265, 8192
8266060316246, 8266060317061, 8266060332987, 8266060348709, 8266060384875, 8266070321336, 8191
8266070382761, 8266070383446, 8266070399872, 8266070414891, 8266070448853, 8266080390944, 8192
8266080448054, 8266080448888, 8266080464610, 8266080479906, 8266080511665, 8266090445589, 8191
8266090504995, 8266090505810, 8266090521569, 8266090537884, 8266090566680, 8266100542622, 8192
8266100865174, 8266100866026, 8266100883562, 8266100899988, 8266100944136, 8266110931615, 8191
8266111000947, 8266111001744, 8266111018003, 8266111031780, 8266111072076, 8266121157350, 8192
8266121228387, 8266121229275, 8266121245609, 8266121262090, 8266121298571, 8266131255532, 8191
8266131318383, 8266131319198, 8266131335364, 8266131351068, 8266131382475, 8266141322084, 8192
8266141377083, 8266141377787, 8266141393472, 8266141409046, 8266141438990, 8266151355322, 8191
8266151410043, 8266151410821, 8266151426154, 8266151441210, 8266151472006, 8266161439300, 8192
8266161509725, 8266161510391, 8266161528187, 8266161546132, 8266161590557, 8266172430434, 8191
8266172522581, 8266172523396, 8266172540655, 8266172557192, 8266172603913, 8266182581429, 8192
8266182649318, 8266182650132, 8266182666317, 8266182683151, 8266182718687, 8266192665722, 8191
8266192723407, 8266192724203, 8266192739703, 8266192755166, 8266192785850, 8266203143918, 8192
8266203223695, 8266203224491, 8266203241065, 8266203257120, 8266203298953, 8266213295265, 8191
8266213357209, 8266213358042, 8266213374135, 8266213390690, 8266213429134, 8266223372873, 8192
8266223432650, 8266223433798, 8266223449928, 8266223466650, 8266223498520, 8266233788958, 8191
8266233847032, 8266233847735, 8266233862642, 8266233877809, 8266233909049, 8266244321709, 8192
8266244427170, 8266244427985, 8266244447707, 8266244466763, 8266244507855, 8266260201435, 8191
8266260392248, 8266260393433, 8266260422470, 8266260441766, 8266260492117, 8266271690416, 8192
8266271781748, 8266271782507, 8266271800359, 8266271813137, 8266271857395, 8266281965243, 8191
8266282058576, 8266282059261, 8266282075890, 8266282091872, 8266282134630, 8266292676603, 8192
8266292753991, 8266292754806, 8266292770880, 8266292788120, 8266292832120, 8266303613219, 8191
8266303702311, 8266303703107, 8266303719681, 8266303736366, 8266303777736, 8266313849381, 8192
8266313915473, 8266313916417, 8266313932732, 8266313949528, 8266313987935, 8266323935525, 8191
8266323996136, 8266323996951, 8266324022339, 8266324038783, 8266324075709, 8266334011485, 8192
8266334070966, 8266334071743, 8266334089095, 8266334105761, 8266334139983, 8266344088555, 8191
8266344151388, 8266344152203, 8266344168721, 8266344184554, 8266344214554, 8266354145459, 8192
8266354202885, 8266354203700, 8266354223144, 8266354240940, 8266354269588, 8266364204771, 8191
8266364264937, 8266364265715, 8266364281252, 8266364296474, 8266364326196, 8266374253453, 8192
8266374311175, 8266374312008, 8266374328063, 8266374343285, 8266374372526, 8266384374838, 8191
8266384443504, 8266384444319, 8266384460911, 8266384476707, 8266384509207, 8266394490741, 8192
8266394562055, 8266394562833, 8266394578777, 8266394595129, 8266394634258, 8266404640144, 8191
8266404711903, 8266404712699, 8266404728977, 8266404745699, 8266404785069, 8266414744881, 8192
8266414804973, 8266414805751, 8266414821566, 8266414839417, 8266414879676, 8266425012079, 8191
8266425101152, 8266425101986, 8266425118597, 8266425135041, 8266425177448, 8266435220759, 8192
8266435285425, 8266435286129, 8266435302481, 8266435318332, 8266435353684, 8266445294534, 8191
8266445353015, 8266445353848, 8266445369329, 8266445384885, 8266445416903, 8266455342586, 8192
8266455404826, 8266455405697, 8266455422770, 8266455435363, 8266455475881, 8266465705579, 8191
8266465772745, 8266465773449, 8266465789949, 8266465805930, 8266465843596, 8266475817964, 8192
8266475876630, 8266475877297, 8266475892649, 8266475908315, 8266475942870, 8266485893331, 8191
8266485950016, 8266485950682, 8266485966867, 8266485983627, 8266486014608, 8266495949180, 8192
8266496015698, 8266496016494, 8266496034957, 8266496050308, 8266496084530, 8266506055343, 8191
8266506128953, 8266506129657, 8266506145323, 8266506161971, 8266506202248, 8266516157524, 8192
8266516218449, 8266516219264, 8266516235208, 8266516251671, 8266516285819, 8266526228280, 8191
8266526285372, 8266526286075, 8266526301057, 8266526317501, 8266526349853, 8266536298536, 8192
8266536356776, 8266536357572, 8266536373498, 8266536389405, 8266536428645, 8266546552104, 8191
8266546744454, 8266546745287, 8266546763046, 8266546778509, 8266546822712, 8266557498443, 8192
8266557567460, 8266557568312, 8266557585071, 8266557602367, 8266557641052, 8266567585217, 8191
8266567643994, 8266567644809, 8266567660697, 8266567676105, 8266567708827, 8266578255521, 8192
8266578330243, 8266578331058, 8266578347224, 8266578364094, 8266578402501, 8266588391110, 8191
8266588455553, 8266588456368, 8266588473109, 8266588488535, 8266588520294, 8266598462347, 8192
8266598519087, 8266598519902, 8266598535291, 8266598551679, 8266598582346, 8266608583213, 8191
8266608652213, 8266608653046, 8266608669731, 8266608685064, 8266608726915, 8266618686099, 8192
8266618747746, 8266618748450, 8266618765579, 8266618782894, 8266618816171, 8266628796521, 8191
8266628865483, 8266628866205, 8266628882057, 8266628897205, 8266628935889, 8266638939850, 8192
8266638998682, 8266638999516, 8266639014682, 8266639031497, 8266639063367, 8266649002717, 8191
8266649059197, 8266649059864, 8266649075642, 8266649091086, 8266649120715, 8266659092250, 8192
8266659156101, 8266659156897, 8266659172286, 8266659188119, 8266659231322, 8266669365596, 8191
8266669457614, 8266669458447, 8266669474595, 8266669490965, 8266669531002, 8266679516370, 8192
8266679578276, 8266679579128, 8266679595202, 8266679610109, 8266679646127, 8266689592551, 8191
8266689651051, 8266689651865, 8266689667884, 8266689684032, 8266689714957, 8266699696584, 8192
8266699772880, 8266699773565, 8266699790083, 8266699807194, 8266699848342, 8266709834710, 8191
8266709893765, 8266709894468, 8266709910394, 8266709927098, 8266709959171, 8266719940039, 8192
