Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
1477931711252438, 1477931711253641, 1477931711367140, 1477931711384659, 1477931711980135, 1477931730514271, 16383
1477933348602509, 1477933348603176, 1477933348698323, 1477933348717619, 1477933348761415, 1477933356951733, 8192
1477933357019714, 1477933357020436, 1477933357037788, 1477933357052917, 1477933357107065, 1477933365097385, 8191
1477934986873089, 1477934986873719, 1477934986978588, 1477934986998440, 1477934987036495, 1477934996307415, 8192
1477934996393859, 1477934996394711, 1477934996414359, 1477934996431692, 1477934996469395, 1477935004878730, 8191
1477936625179890, 1477936625180613, 1477936625289093, 1477936625311334, 1477936625352222, 1477936633598707, 8192
1477936633695354, 1477936633696206, 1477936633713557, 1477936633731039, 1477936633768242, 1477936641965208, 8191
1477938263468746, 1477938263469413, 1477938263558152, 1477938263577745, 1477938263614985, 1477938271727693, 8192
1477938272194263, 1477938272194856, 1477938272243670, 1477938272266670, 1477938272321262, 1477938280373026, 8191
1477939901758156, 1477939901758822, 1477939901867895, 1477939901887303, 1477939901923432, 1477939909980529, 8192
1477939910239175, 1477939910239842, 1477939910270193, 1477939910289600, 1477939910339193, 1477939918492715, 8191
1477941540088434, 1477941540089101, 1477941540190230, 1477941540209600, 1477941540247729, 1477941548308159, 8192
1477941548407270, 1477941548408196, 1477941548425121, 1477941548441825, 1477941548483584, 1477941556978196, 8191
1477943178377730, 1477943178378730, 1477943178457026, 1477943178475914, 1477943178512321, 1477943187224728, 8192
1477943187296560, 1477943187297394, 1477943187315060, 1477943187330968, 1477943187365615, 1477943195665710, 8191
1477944816661802, 1477944816662395, 1477944816742265, 1477944816761209, 1477944816798764, 1477944824825065, 8192
1477944824895657, 1477944824896342, 1477944824916120, 1477944824933750, 1477944824979842, 1477944833025698, 8191
1477946454950207, 1477946454950800, 1477946455031262, 1477946455050502, 1477946455086798, 1477946463093526, 8192
1477946463153025, 1477946463153747, 1477946463170284, 1477946463187506, 1477946463222450, 1477946471147974, 8191
1477948093259702, 1477948093260406, 1477948093351257, 1477948093369813, 1477948093406516, 1477948101416095, 8192
1477948101479891, 1477948101480687, 1477948101500076, 1477948101519298, 1477948101559390, 1477948109602524, 8191
1477949731579734, 1477949731580567, 1477949731657289, 1477949731675751, 1477949731715492, 1477949739722052, 8192
1477949739783478, 1477949739784366, 1477949739804255, 1477949739821940, 1477949739858847, 1477949747789316, 8191
1477951369848394, 1477951369848986, 1477951369941559, 1477951369960337, 1477951370000281, 1477951377999545, 8192
1477951378061304, 1477951378061989, 1477951378081952, 1477951378100174, 1477951378145266, 1477951386187327, 8191
1477953008167181, 1477953008167774, 1477953008267218, 1477953008286143, 1477953008325180, 1477953016327555, 8192
1477953016391147, 1477953016391833, 1477953016412221, 1477953016429869, 1477953016465406, 1477953024427059, 8191
1477954646455894, 1477954646456579, 1477954646554504, 1477954646574097, 1477954646608485, 1477954654616842, 8192
1477954654680360, 1477954654681064, 1477954654701286, 1477954654720915, 1477954654762748, 1477954663613431, 8191
1477956284790420, 1477956284791179, 1477956284872123, 1477956284890845, 1477956284923308, 1477956292954590, 8192
1477956293025127, 1477956293025904, 1477956293045793, 1477956293062608, 1477956293096404, 1477956301046131, 8191
1477957923054889, 1477957923055575, 1477957923144407, 1477957923163055, 1477957923198240, 1477957931222374, 8192
1477957931284911, 1477957931285596, 1477957931306448, 1477957931325151, 1477957931366169, 1477957939419100, 8191
1477959561386209, 1477959561387005, 1477959561485727, 1477959561505301, 1477959561539689, 1477959569613379, 8192
1477959569702452, 1477959569703396, 1477959569723507, 1477959569741211, 1477959569779507, 1477959577838178, 8191
1477961199661342, 1477961199661917, 1477961199763916, 1477961199782619, 1477961199815693, 1477961207870364, 8192
1477961208088714, 1477961208089603, 1477961208110806, 1477961208131158, 1477961208183176, 1477961217505244, 8191
1477962018916371, 1477962018917074, 1477962019024203, 1477962019042851, 1477962019076962, 1477962027157336, 8192
1477962837991215, 1477962837991919, 1477962838093066, 1477962838112399, 1477962838147232, 1477962846216607, 8191
1477963657151521, 1477963657152188, 1477963657249317, 1477963657267816, 1477963657302575, 1477963665321173, 8192
1477964476295531, 1477964476296142, 1477964476376252, 1477964476396067, 1477964476431733, 1477964484435146, 8191
1477965295495410, 1477965295496132, 1477965295579539, 1477965295598816, 1477965295632557, 1477965303657988, 8192
1477966114551975, 1477966114552549, 1477966114644178, 1477966114663141, 1477966114696233, 1477966122710238, 8191
1477966933770928, 1477966933771631, 1477966933854964, 1477966933873556, 1477966933905538, 1477966941907931, 8192
1477967752862418, 1477967752862992, 1477967752949028, 1477967752968250, 1477967753000843, 1477967761007885, 8191
1477968572066629, 1477968572067185, 1477968572162351, 1477968572181239, 1477968572213684, 1477968580217948, 8192
1477969391149712, 1477969391150415, 1477969391242914, 1477969391261951, 1477969391294321, 1477969399290789, 8191
1477970210369848, 1477970210370644, 1477970210447181, 1477970210465625, 1477970210498199, 1477970218497981, 8192
1477971029455911, 1477971029456485, 1477971029551392, 1477971029569410, 1477971029601799, 1477971037608137, 8191
1477971848668713, 1477971848669306, 1477971848749398, 1477971848767787, 1477971848800342, 1477971856790495, 8192
1477972667758572, 1477972667759183, 1477972667857423, 1477972667876627, 1477972667910423, 1477972675916502, 8191
1477973486954763, 1477973486955356, 1477973487037207, 1477973487056003, 1477973487089743, 1477973495085841, 8192
1477974306094621, 1477974306095343, 1477974306184712, 1477974306203286, 1477974306235990, 1477974314242995, 8191
1477975125247848, 1477975125248552, 1477975125337162, 1477975125355384, 1477975125388625, 1477975133384000, 8192
1477975944434927, 1477975944435631, 1477975944526445, 1477975944545093, 1477975944577666, 1477975952576653, 8191
1477976763562728, 1477976763563450, 1477976763664616, 1477976763683431, 1477976763718634, 1477976771713602, 8192
