Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, 
1130400948091734, 1130400948092549, 1130400948191455, 1130400948206659, 1130400948265066, 1130400949799956, 8192
1130400949863270, 1130400949863992, 1130400949912547, 1130400949927658, 1130400949975565, 1130400951080126, 8191
1130400951127885, 1130400951129033, 1130400951162496, 1130400951176662, 1130400951219291, 1130400956355307, 8192
1130400956411973, 1130400956412732, 1130400956454362, 1130400956469269, 1130400956518361, 1130400957492091, 8191
1130400957538905, 1130400957539497, 1130400957583701, 1130400957599182, 1130400957640033, 1130400958541634, 8192
1130400958582578, 1130400958583208, 1130400958622263, 1130400958638911, 1130400958680503, 1130400959565567, 8191
1130400961623285, 1130400961624136, 1130400961738302, 1130400961753413, 1130400961792894, 1130400965259151, 8192
1130400965318224, 1130400965318835, 1130400965382131, 1130400965396223, 1130400965439297, 1130400966400545, 8191
1130400972844157, 1130400972844917, 1130400972940434, 1130400972956527, 1130400972991119, 1130400973965997, 8192
1130400974029848, 1130400974030737, 1130400974077810, 1130400974091884, 1130400974132050, 1130400974981411, 8191
1130400975016799, 1130400975017651, 1130400975049781, 1130400975064966, 1130400975101576, 1130400975988714, 8192
1130400983110430, 1130400983111152, 1130400983231114, 1130400983247428, 1130400983904791, 1130400994019473, 16383
1130400994921407, 1130400994922074, 1130400994982221, 1130400994996221, 1130400995025295, 1130400996158041, 8192
1130400996292151, 1130400996292929, 1130400996359558, 1130400996373391, 1130400996410353, 1130401001220521, 8191
1130401001351686, 1130401001352316, 1130401001411889, 1130401001425389, 1130401001464278, 1130401002321175, 8192
1130401002441285, 1130401002441915, 1130401002489099, 1130401002504284, 1130401002539488, 1130401003377274, 8191
1130401003527865, 1130401003528717, 1130401003576365, 1130401003591605, 1130401003625661, 1130401006096873, 8192
1130401006236464, 1130401006237168, 1130401006300741, 1130401006317278, 1130401006364518, 1130401007237546, 8191
1130401008803583, 1130401008804935, 1130401008924989, 1130401008943508, 1130401012338488, 1130401013942877, 16383
1130401014871718, 1130401014872626, 1130401014954866, 1130401014969439, 1130401015002513, 1130401016086575, 8192
1130401016850474, 1130401016851659, 1130401016965083, 1130401016983120, 1130401017026027, 1130401021157869, 8192
1130401021308719, 1130401021309497, 1130401021381404, 1130401021396237, 1130401021437274, 1130401022394041, 8191
1130401023961875, 1130401023963004, 1130401024120706, 1130401024140280, 1130401034725956, 1130401036472251, 16383
1130401037412185, 1130401037413648, 1130401037574146, 1130401037595276, 1130401037659053, 1130401039048148, 8192
1130401040756407, 1130401040757092, 1130401040879498, 1130401040896831, 1130401041087144, 1130401043176675, 16383
1130401044304477, 1130401044305440, 1130401044421735, 1130401044437532, 1130401044497216, 1130401045491612, 8192
1130401046975725, 1130401046976892, 1130401047067483, 1130401047085502, 1130401047255203, 1130401049848674, 16383
1130401051560025, 1130401051563173, 1130401051759800, 1130401051781356, 1130401052170777, 1130401054122996, 16383
1130401055034356, 1130401055035411, 1130401055108688, 1130401055124059, 1130401055158429, 1130401056236027, 8192
1130401057921045, 1130401057921934, 1130401058153024, 1130401058176061, 1130401058498002, 1130401060475387, 16383
1130401061368266, 1130401061369080, 1130401061439228, 1130401061454820, 1130401061488042, 1130401062470475, 8192
1130401063957310, 1130401063957940, 1130401064092383, 1130401064113123, 1130401064334065, 1130401066262395, 16383
1130401067761860, 1130401067762489, 1130401067853655, 1130401067869766, 1130401068121689, 1130401069781652, 16383
1130401071514947, 1130401071515540, 1130401071606094, 1130401071622557, 1130401071796851, 1130401073463647, 16383
1130401074314915, 1130401074315749, 1130401074368544, 1130401074382840, 1130401074419562, 1130401075359459, 8192
1130401076919330, 1130401076919997, 1130401077030570, 1130401077047329, 1130401079025751, 1130401080674677, 16383
1130401082275992, 1130401082277047, 1130401082363250, 1130401082378694, 1130401082562655, 1130401084240006, 16383
1130401085120052, 1130401085121126, 1130401085195570, 1130401085211570, 1130401085252995, 1130401086208429, 8192
1130401087703171, 1130401087703801, 1130401087790263, 1130401087807911, 1130401087975205, 1130401089667982, 16383
1130401091159539, 1130401091160169, 1130401091236372, 1130401091252094, 1130401091416481, 1130401093143646, 16383
1130401094679685, 1130401094680277, 1130401094756258, 1130401094772628, 1130401094951404, 1130401096634736, 16383
1130401097484227, 1130401097484838, 1130401097540745, 1130401097554819, 1130401097590689, 1130401098534067, 8192
1130401100066420, 1130401100067086, 1130401100152308, 1130401100168104, 1130401100329769, 1130401101939843, 16383
1130401103454067, 1130401103454715, 1130401103519973, 1130401103534788, 1130401103693768, 1130401105585894, 16383
1130401107124803, 1130401107126321, 1130401107205191, 1130401107220691, 1130401107396744, 1130401109083873, 16383
1130401109941604, 1130401109942345, 1130401109997863, 1130401110011363, 1130401110041159, 1130401111029036, 8192
1130401111873156, 1130401111873768, 1130401111947119, 1130401111962785, 1130401111998396, 1130401112978940, 8192
1130401114502738, 1130401114503664, 1130401114593866, 1130401114611811, 1130401114778031, 1130401120909184, 16383
1130401126009330, 1130401126011070, 1130401126108847, 1130401126123921, 1130401126323585, 1130401140065337, 16383
1130401140883087, 1130401140883791, 1130401140966493, 1130401140981308, 1130401141008030, 1130401152163200, 8192
1130401152220514, 1130401152221459, 1130401152318050, 1130401152334457, 1130401152377901, 1130401160156054, 8191
1130401160212627, 1130401160213498, 1130401160310089, 1130401160326200, 1130401160371255, 1130401164950037, 8192
1130401165006129, 1130401165007091, 1130401165061720, 1130401165077609, 1130401165121442, 1130401166007413, 8191
1130401167498378, 1130401167499174, 1130401167585692, 1130401167604599, 1130401167780486, 1130401169600225, 16383
1130401170440548, 1130401170441678, 1130401170516788, 1130401170531492, 1130401170578214, 1130401171529795, 8192
1130401173004019, 1130401173004945, 1130401173096907, 1130401173113851, 1130401173301535, 1130401174918053, 16383
1130401176617164, 1130401176618015, 1130401176712996, 1130401176729051, 1130401176909660, 1130401178553716, 16383
1130401180094624, 1130401180095291, 1130401180180234, 1130401180196123, 1130401180364417, 1130401181999232, 16383
1130401182865352, 1130401182866037, 1130401182937111, 1130401182952036, 1130401182984499, 1130401183954692, 8192
1130401185432934, 1130401185433582, 1130401185531118, 1130401185548562, 1130401185721653, 1130401187350579, 16383
1130401188872340, 1130401188873025, 1130401188955635, 1130401188971246, 1130401189153892, 1130401190791577, 16383
1130401192306578, 1130401192307208, 1130401192392059, 1130401192407096, 1130401192590890, 1130401194214205, 16383
1130401195722966, 1130401195724058, 1130401195799557, 1130401195814428, 1130401195986074, 1130401197665833, 16383
1130401198517897, 1130401198518934, 1130401198589581, 1130401198605211, 1130401198635025, 1130401199616736, 8192
1130401201120460, 1130401201121053, 1130401201216737, 1130401201233200, 1130401201417957, 1130401203042864, 16383
1130401204559458, 1130401204560106, 1130401204638161, 1130401204653568, 1130401204832825, 1130401206559602, 16383
1130401208192954, 1130401208193695, 1130401208282657, 1130401208298768, 1130401208492284, 1130401210101747, 16383
1130401211621563, 1130401211622878, 1130401211703118, 1130401211718766, 1130401211902819, 1130401213596245, 16383
1130401214431532, 1130401214432402, 1130401214507420, 1130401214523345, 1130401214552178, 1130401215538112, 8192
1130401217100594, 1130401217101316, 1130401217198556, 1130401217214407, 1130401217397109, 1130401219008165, 16383
1130401220219707, 1130401220220484, 1130401220301872, 1130401220315965, 1130401220348465, 1130401221281898, 8192
1130401222714956, 1130401222715697, 1130401222763937, 1130401222778493, 1130401222926417, 1130401224502029, 16383
1130401226084900, 1130401226085566, 1130401226129047, 1130401226142880, 1130401226287027, 1130401227812528, 16383
1130401228647630, 1130401228648630, 1130401228685740, 1130401228698814, 1130401228730332, 1130401229644470, 8192
1130401230455572, 1130401230456294, 1130401230491016, 1130401230504905, 1130401230535423, 1130401231322340, 8192
1130401232729472, 1130401232730195, 1130401232771842, 1130401232784990, 1130401232927229, 1130401234457879, 16383
1130401235865715, 1130401235866363, 1130401235899936, 1130401235912622, 1130401236063601, 1130401237585862, 16383
1130401238358001, 1130401238358612, 1130401238391871, 1130401238404741, 1130401238438537, 1130401239313139, 8192
1130401240080778, 1130401240081426, 1130401240123870, 1130401240137407, 1130401240171110, 1130401240960416, 8192
1130401242350215, 1130401242350826, 1130401242428566, 1130401242442955, 1130401242617342, 1130401244312563, 16383
1130401245727325, 1130401245728270, 1130401245803954, 1130401245820120, 1130401245995563, 1130401250603177, 16383
1130401251381650, 1130401251382428, 1130401251415687, 1130401251428927, 1130401251459168, 1130401252509322, 8192
1130401253919621, 1130401253920325, 1130401253965417, 1130401253979102, 1130401254127452, 1130401255665490, 16383
1130401256461852, 1130401256462926, 1130401256509888, 1130401256522869, 1130401256553851, 1130401257472970, 8192
1130401258876417, 1130401258877139, 1130401258950305, 1130401258965768, 1130401259131562, 1130401260809488, 16383
