Inicio, Arrays, Continuar, Muestras, Transmision, Devolucion, Num_muestras 
10603723154806, 10603723155584, 10603723276731, 10603723295638, 10603723886891, 10603810523174, 16383
10603811498422, 10603811499218, 10603811567551, 10603811582365, 10603811643383, 10603850845581, 8192
10603851700756, 10603851701571, 10603851735515, 10603851755422, 10603851938809, 10603931588450, 16383
10603935617219, 10603935618163, 10603935720940, 10603935739755, 10603935878864, 10604016847953, 16383
10604017662795, 10604017663518, 10604017691203, 10604017709110, 10604017757313, 10604056613867, 8192
10604056693958, 10604056694755, 10604056714069, 10604056730847, 10604056782754, 10604097129568, 8191
10604097208808, 10604097209604, 10604097225419, 10604097241215, 10604097304640, 10604136223027, 8192
10604136318748, 10604136319526, 10604136336692, 10604136352785, 10604136407099, 10604175136080, 8191
10604175224727, 10604175225561, 10604175242505, 10604175258560, 10604175321356, 10604213948486, 8192
10604214013708, 10604214014393, 10604214030615, 10604214046207, 10604214098373, 10604290301258, 8191
10604290440886, 10604290443071, 10604290489552, 10604290537311, 10604290656272, 10604407042640, 8192
10604407242711, 10604407245082, 10604407291896, 10604407338877, 10604407451320, 10604538164968, 8191
10604538370169, 10604538372484, 10604538427039, 10604538466372, 10604538595685, 10604670928147, 8192
10604671155478, 10604671157830, 10604671212347, 10604671264532, 10604671389123, 10604828890000, 8191
10604829098349, 10604829100646, 10604829160089, 10604829217385, 10604829345050, 10604946509520, 8192
10604946714166, 10604946716406, 10604946772202, 10604946820535, 10604946938385, 10605067028970, 8191
10605067286170, 10605067288522, 10605067342818, 10605067395039, 10605067512223, 10605193107226, 8192
10605193361556, 10605193363686, 10605193425148, 10605193480462, 10605193615183, 10605309996328, 8191
10605310194511, 10605310196604, 10605310246899, 10605310297399, 10605310423305, 10605426887986, 8192
10605427103539, 10605427106335, 10605427157983, 10605427207353, 10605427321592, 10605543611201, 8191
10605543816458, 10605543818662, 10605543869198, 10605543919179, 10605544083400, 10605664745051, 8192
10605664959586, 10605664961882, 10605665016715, 10605665065825, 10605665204046, 10605783990701, 8191
10605784264809, 10605784267197, 10605784315567, 10605784364270, 10605784484565, 10605901212540, 8192
10605901439019, 10605901441241, 10605901497833, 10605901546943, 10605901693405, 10606018299696, 8191
10606018522582, 10606018525156, 10606018589581, 10606018641192, 10606018760709, 10606135102336, 8192
10606135276038, 10606135278112, 10606135326148, 10606135373111, 10606135469054, 10606251349983, 8191
10606251499240, 10606251501388, 10606251547610, 10606251596665, 10606251707053, 10606367755887, 8192
10606367943811, 10606367946107, 10606367995236, 10606368067439, 10606368180604, 10606484017126, 8191
10606484153458, 10606484155513, 10606484201031, 10606484246827, 10606484350604, 10606600337865, 8192
10606600478844, 10606600480900, 10606600525862, 10606600571880, 10606600674583, 10606716804157, 8191
10606716957155, 10606716959340, 10606717007543, 10606717046543, 10606717167838, 10606839940521, 8192
10606840151037, 10606840153259, 10606840202759, 10606840250091, 10606840358386, 10606957373524, 8191
10606957524967, 10606957527226, 10606957575041, 10606957622429, 10606957734076, 10607073766688, 8192
10607073931630, 10607073933779, 10607073980648, 10607074028463, 10607074133795, 10607190141833, 8191
10607190286572, 10607190288776, 10607190334701, 10607190385201, 10607190494848, 10607306459109, 8192
10607306623866, 10607306626292, 10607306673532, 10607306719476, 10607306828919, 10607422677534, 8191
10607422810884, 10607422812939, 10607422858680, 10607422904068, 10607422999567, 10607539010253, 8192
10607539121067, 10607539121863, 10607539137826, 10607539153381, 10607539202510, 10607577815567, 8191
10607577865178, 10607577865974, 10607577881437, 10607577897696, 10607577944566, 10607616628158, 8192
10607616710898, 10607616711657, 10607616727824, 10607616743990, 10607616794231, 10607655466675, 8191
10607655655636, 10607655656433, 10607655674229, 10607655691488, 10607655752394, 10607695357347, 8192
10607695440828, 10607695441494, 10607695457716, 10607695473457, 10607695530382, 10607734192734, 8191
10607734272808, 10607734273622, 10607734289863, 10607734306233, 10607734371269, 10607773405303, 8192
10607773492654, 10607773493487, 10607773513394, 10607773530783, 10607773586967, 10607812280227, 8191
10607812359930, 10607812360615, 10607812376577, 10607812392466, 10607812448077, 10607851109355, 8192
10607851188984, 10607851189817, 10607851206224, 10607851222409, 10607851275853, 10607890212647, 8191
10607890287479, 10607890288313, 10607890306960, 10607890324442, 10607890385552, 10607930363426, 8192
10607930442518, 10607930443351, 10607930459148, 10607930475851, 10607930531091, 10607970576780, 8191
10607970670945, 10607970671852, 10607970691408, 10607970709130, 10607970771481, 10608011195739, 8192
10608011275349, 10608011276164, 10608011292571, 10608011308423, 10608011367552, 10608050035108, 8191
10608050113570, 10608050114366, 10608050130755, 10608050147070, 10608050205884, 10608089940835, 8192
10608090019964, 10608090020778, 10608090037371, 10608090053500, 10608090110018, 10608128785889, 8191
10608128864462, 10608128865240, 10608128881758, 10608128897036, 10608128952665, 10608167616591, 8192
10608167695053, 10608167695887, 10608167712016, 10608167728294, 10608167782904, 10608206449812, 8191
10608206529070, 10608206529867, 10608206546626, 10608206563477, 10608206625310, 10608245631973, 8192
10608245712565, 10608245713398, 10608245730231, 10608245746787, 10608245803323, 10608284500582, 8191
10608284579489, 10608284580193, 10608284595896, 10608284611766, 10608284668562, 10608323347692, 8192
10608323426450, 10608323427265, 10608323443394, 10608323459505, 10608323516134, 10608362180727, 8191
10608362259282, 10608362260115, 10608362276152, 10608362291911, 10608362358337, 10608402051196, 8192
10608402129010, 10608402129824, 10608402145972, 10608402160824, 10608402213953, 10608440893194, 8191
10608440971101, 10608440971915, 10608440988841, 10608441004989, 10608441062525, 10608479722563, 8192
10608479802266, 10608479803099, 10608479820414, 10608479833432, 10608479889580, 10608518620116, 8191
10608518697004, 10608518697912, 10608518714152, 10608518730208, 10608518792114, 10608557770537, 8192
10608557852925, 10608557853647, 10608557870166, 10608557886091, 10608557943294, 10608596642572, 8191
10608596721794, 10608596722479, 10608596738053, 10608596754867, 10608596810422, 10608635506922, 8192
10608635589088, 10608635589792, 10608635606699, 10608635622865, 10608635677809, 10608674262755, 8191
10608674315569, 10608674316403, 10608674331847, 10608674348736, 10608674399198, 10608713076291, 8192
10608713151401, 10608713152309, 10608713169142, 10608713185530, 10608713240141, 10608751803754, 8191
10608751861605, 10608751862309, 10608751878790, 10608751894234, 10608751934956, 10608790484310, 8192
10608790536624, 10608790537457, 10608790555661, 10608790571809, 10608790609123, 10608829169236, 8191
10608829228068, 10608829228754, 10608829248216, 10608829267235, 10608829325382, 10608868042086, 8192
10608868123103, 10608868123937, 10608868139677, 10608868155751, 10608868213324, 10608906863992, 8191
10608906942732, 10608906943546, 10608906959565, 10608906975805, 10608907031897, 10608945693361, 8192
10608945749064, 10608945749860, 10608945765452, 10608945781563, 10608945825618, 10608984499693, 8191
10608984576248, 10608984577210, 10608984593303, 10608984609284, 10608984670987, 10609023506856, 8192
10609023588596, 10609023589374, 10609023605262, 10609023621095, 10609023678150, 10609063373121, 8191
10609063425713, 10609063426416, 10609063442416, 10609063457249, 10609063503212, 10609103491030, 8192
10609103550493, 10609103551418, 10609103566918, 10609103581807, 10609103627732, 10609143815530, 8191
10609143874844, 10609143875678, 10609143890696, 10609143907899, 10609143963621, 10609182660547, 8192
10609182742417, 10609182743194, 10609182759527, 10609182775194, 10609182836508, 10609221421213, 8191
10609221478083, 10609221478879, 10609221494268, 10609221509323, 10609221559082, 10609260107602, 8192
10609260255730, 10609260256730, 10609260273730, 10609260288934, 10609260338803, 10609298928990, 8191
10609298996841, 10609298997563, 10609299017378, 10609299034711, 10609299098469, 10609338729237, 8192
10609338808106, 10609338809069, 10609338825865, 10609338841865, 10609338899920, 10609377453699, 8191
10609377502717, 10609377503402, 10609377518661, 10609377534346, 10609377576235, 10609416139811, 8192
10609416195958, 10609416196754, 10609416212310, 10609416227902, 10609416268013, 10609454899569, 8191
10609454980420, 10609454981272, 10609454997772, 10609455014179, 10609455082382, 10609494021490, 8192
10609494099193, 10609494100101, 10609494117008, 10609494132841, 10609494185248, 10609532766546, 8191
10609532827508, 10609532828304, 10609532844230, 10609532859137, 10609532907599, 10609571482508, 8192
10609571531063, 10609571531860, 10609571547267, 10609571562767, 10609571598803, 10609610158935, 8191
10609610210971, 10609610211619, 10609610226952, 10609610242026, 10609610295007, 10609649047470, 8192
10609649170450, 10609649171450, 10609649194060, 10609649214023, 10609649286133, 10609688073633, 8191
10609688182039, 10609688183039, 10609688204187, 10609688217223, 10609688278945, 10609743000946, 8192
10609743088705, 10609743089501, 10609743106852, 10609743124074, 10609743178944, 10609781758946, 8191
10609781814964, 10609781815649, 10609781831408, 10609781847945, 10609781896703, 10609820703906, 8192
10609820792609, 10609820793423, 10609820810053, 10609820826534, 10609820883089, 10609859455313, 8191
10609859507960, 10609859508683, 10609859524053, 10609859539534, 10609859582237, 10609898122813, 8192
10609898176387, 10609898177090, 10609898193405, 10609898209516, 10609898248515, 10609936909072, 8191
10609936975960, 10609936976867, 10609936993367, 10609937010922, 10609937065681, 10609975746737, 8192
10609975828699, 10609975829532, 10609975845902, 10609975862309, 10609975915642, 10610014562865, 8191
10610014658271, 10610014659049, 10610014678123, 10610014695141, 10610014750437, 10610053321976, 8192
10610053379901, 10610053380697, 10610053399493, 10610053416382, 10610053460807, 10610092030068, 8191
10610092080827, 10610092081716, 10610092098327, 10610092114789, 10610092166252, 10610130831197, 8192
10610130909473, 10610130910251, 10610130926436, 10610130942195, 10610130995991, 10610169548011, 8191
10610169600251, 10610169601029, 10610169616492, 10610169632436, 10610169675769, 10610209412628, 8192
10610209477756, 10610209478664, 10610209494330, 10610209509330, 10610209558033, 10610249098839, 8191
10610249149819, 10610249150505, 10610249166708, 10610249182949, 10610249237633, 10610289394080, 8192
10610289489856, 10610289490653, 10610289508726, 10610289521615, 10610289581707, 10610328858775, 8191
10610328932644, 10610328933440, 10610328949755, 10610328966199, 10610329014958, 10610367559830, 8192
10610367606385, 10610367607237, 10610367622644, 10610367638422, 10610367677884, 10610406229108, 8191
10610406283386, 10610406284108, 10610406299311, 10610406315422, 10610406367662, 10610446324611, 8192
10610446402925, 10610446403869, 10610446420221, 10610446436665, 10610446490683, 10610485163387, 8191
10610485240090, 10610485240868, 10610485256812, 10610485272423, 10610485330145, 10610523918127, 8192
10610523981238, 10610523982053, 10610523997978, 10610524025071, 10610524077014, 10610562708237, 8191
10610562803514, 10610562804236, 10610562822051, 10610562839217, 10610562904606, 10610601841510, 8192
10610601923824, 10610601924639, 10610601940546, 10610601957213, 10610602012157, 10610640557584, 8191
10610640605565, 10610640606269, 10610640621176, 10610640636824, 10610640677768, 10610679210140, 8192
10610679256399, 10610679257195, 10610679272214, 10610679287288, 10610679326732, 10610717882344, 8191
10610717937436, 10610717938122, 10610717954584, 10610717971529, 10610718027269, 10610757326280, 8192
10610757404891, 10610757405928, 10610757422113, 10610757438464, 10610757492612, 10610796038225, 8191
10610796086298, 10610796086984, 10610796102539, 10610796118576, 10610796160446, 10610834805335, 8192
10610835027962, 10610835028647, 10610835047240, 10610835058721, 10610835127665, 10610873837868, 8191
10610873907571, 10610873908405, 10610873923979, 10610873940219, 10610874000774, 10610913299230, 8192
10610913387618, 10610913388562, 10610913407414, 10610913419821, 10610913475839, 10610952339689, 8191
10610952410559, 10610952411411, 10610952427151, 10610952443595, 10610952492558, 10610991051523, 8192
10610991099040, 10610991099837, 10610991114911, 10610991130818, 10610991170558, 10611029739134, 8191
10611029804096, 10611029804985, 10611029820670, 10611029836855, 10611029888262, 10611068756260, 8192
10611068858425, 10611068859573, 10611068878944, 10611068895425, 10611068971980, 10611107752682, 8191
10611107852644, 10611107853552, 10611107874422, 10611107890922, 10611107948514, 10611146548052, 8192
10611146605551, 10611146606218, 10611146624532, 10611146641051, 10611146687254, 10611185256848, 8191
10611185320940, 10611185321755, 10611185336977, 10611185352810, 10611185415383, 10611224125068, 8192
10611224213623, 10611224214438, 10611224231049, 10611224247845, 10611224302844, 10611262859161, 8191
10611262913123, 10611262913901, 10611262929993, 10611262946067, 10611262989715, 10611301548068, 8192
10611301605160, 10611301605864, 10611301621308, 10611301636956, 10611301679974, 10611340403529, 8191
10611340454177, 10611340454955, 10611340469973, 10611340485528, 10611340539343, 10611380361848, 8192
10611380441699, 10611380442496, 10611380458625, 10611380474699, 10611380529032, 10611420560442, 8191
10611420637719, 10611420638515, 10611420654534, 10611420670367, 10611420729218, 10611460900886, 8192
10611460954756, 10611460955553, 10611460971034, 10611460986052, 10611461029737, 10611499610609, 8191
10611499683367, 10611499684145, 10611499702404, 10611499719756, 10611499778459, 10611538447792, 8192
10611538530440, 10611538531347, 10611538547180, 10611538564032, 10611538619994, 10611577212255, 8191
10611577263772, 10611577264421, 10611577280402, 10611577295624, 10611577336772, 10611615895347, 8192
10611615952199, 10611615952921, 10611615968291, 10611615983032, 10611616040438, 10611654559292, 8191
10611654605181, 10611654605847, 10611654621403, 10611654637421, 10611654680643, 10611693348754, 8192
10611693429476, 10611693430309, 10611693447068, 10611693463438, 10611693525882, 10611733100909, 8191
10611733179315, 10611733180501, 10611733196630, 10611733212926, 10611733269870, 10611771849390, 8192
10611771903204, 10611771904056, 10611771920056, 10611771935204, 10611771979870, 10611810548945, 8191
10611810608704, 10611810609371, 10611810625593, 10611810640907, 10611810696573, 10611851374273, 8192
10611851454272, 10611851455068, 10611851471994, 10611851487086, 10611851541197, 10611890089106, 8191
10611890136846, 10611890137661, 10611890153402, 10611890168105, 10611890208846, 10611928996641, 8192
10611929070603, 10611929071510, 10611929087788, 10611929103010, 10611929153176, 10611967986471, 8191
10611968082377, 10611968083174, 10611968104025, 10611968121895, 10611968186339, 10612006942209, 8192
10612007023337, 10612007024134, 10612007040856, 10612007056559, 10612007116892, 10612045702412, 8191
10612045765504, 10612045766281, 10612045782411, 10612045797689, 10612045845873, 10612084531966, 8192
10612084611354, 10612084612113, 10612084627965, 10612084644298, 10612084709205, 10612123292558, 8191
10612123362094, 10612123362779, 10612123379390, 10612123392094, 10612123446186, 10612162365646, 8192
10612162443553, 10612162444368, 10612162461627, 10612162477312, 10612162532200, 10612201102405, 8191
10612201161719, 10612201162682, 10612201178386, 10612201194367, 10612201246126, 10612239825386, 8192
10612239889293, 10612239890071, 10612239905811, 10612239922682, 10612239968700, 10612278512812, 8191
10612278559775, 10612278560497, 10612278575867, 10612278591423, 10612278641681, 10612320319999, 8192
10612320394554, 10612320395350, 10612320411591, 10612320427535, 10612320482497, 10612359139757, 8191
10612359224182, 10612359224978, 10612359240997, 10612359257682, 10612359315181, 10612397878108, 8192
10612397927904, 10612397928589, 10612397943997, 10612397959496, 10612398001385, 10612436554868, 8191
10612436847994, 10612436848828, 10612436866735, 10612436883586, 10612436942938, 10612475632216, 8192
10612475716474, 10612475717326, 10612475734029, 10612475750566, 10612475807547, 10612515567424, 8191
10612515632256, 10612515633053, 10612515649312, 10612515665960, 10612515716237, 10612555652389, 8192
10612555718333, 10612555719037, 10612555737833, 10612555755462, 10612555798628, 10612595636023, 8191
10612595687430, 10612595688115, 10612595706837, 10612595723688, 10612595774521, 10612634877146, 8192
10612634957608, 10612634958404, 10612634974830, 10612634991015, 10612635047422, 10612674182343, 8191
10612674258435, 10612674259212, 10612674275138, 10612674290749, 10612674348248, 10612712955064, 8192
10612713016341, 10612713017230, 10612713033212, 10612713048137, 10612713096044, 10612751646213, 8191
10612751701323, 10612751702119, 10612751717823, 10612751733415, 10612751783044, 10612790434693, 8192
10612790515007, 10612790515914, 10612790532507, 10612790548321, 10612790604302, 10612829215026, 8191
10612829277729, 10612829278506, 10612829294377, 10612829310099, 10612829356931, 10612867891563, 8192
10612867937062, 10612867937785, 10612867953007, 10612867968525, 10612868015024, 10612906639859, 8191
10612906728450, 10612906729358, 10612906746228, 10612906763783, 10612906828838, 10612945597374, 8192
10612945677096, 10612945677892, 10612945694540, 10612945710688, 10612945769095, 10612984319467, 8191
10612984367299, 10612984367966, 10612984383281, 10612984398040, 10612984438725, 10613023007208, 8192
10613023067096, 10613023067911, 10613023083466, 10613023099169, 10613023145373, 10613061688930, 8191
10613061741485, 10613061742170, 10613061758022, 10613061773688, 10613061822447, 10613101049478, 8192
10613101128310, 10613101129014, 10613101145366, 10613101161458, 10613101221013, 10613139774015, 8191
10613139826514, 10613139827236, 10613139843051, 10613139857477, 10613139900106, 10613178536459, 8192
10613178615402, 10613178616180, 10613178633124, 10613178648068, 10613178704994, 10613217289199, 8191
10613217348550, 10613217349365, 10613217364457, 10613217380420, 10613217433401, 10613256104105, 8192
10613256183548, 10613256184345, 10613256201067, 10613256217511, 10613256274844, 10613294809475, 8191
10613294859234, 10613294859901, 10613294875789, 10613294888141, 10613294929696, 10613333765713, 8192
10613333842545, 10613333843342, 10613333859045, 10613333874082, 10613333928156, 10613372479509, 8191
10613372526157, 10613372526861, 10613372542971, 10613372558416, 10613372604137, 10613411345230, 8192
10613411424506, 10613411425340, 10613411440914, 10613411457025, 10613411516783, 10613450201913, 8191
10613450298838, 10613450300004, 10613450320097, 10613450337874, 10613450403633, 10613489090355, 8192
10613489169466, 10613489170188, 10613489186650, 10613489201761, 10613489257446, 10613527853651, 8191
10613527927687, 10613527928354, 10613527946705, 10613527963205, 10613528039038, 10613566702038, 8192
10613566781667, 10613566782611, 10613566801667, 10613566817944, 10613566877203, 10613605484130, 8191
10613605544611, 10613605545296, 10613605560759, 10613605575869, 10613605624054, 10613644441664, 8192
10613644511311, 10613644512089, 10613644528644, 10613644543959, 10613644592477, 10613684287132, 8191
10613684345743, 10613684346539, 10613684362483, 10613684379539, 10613684432371, 10613724514207, 8192
10613724596243, 10613724596910, 10613724613984, 10613724629669, 10613724690872, 10613764824596, 8191
10613764888984, 10613764889929, 10613764905910, 10613764922280, 10613764968891, 10613803532652, 8192
10613803591429, 10613803592077, 10613803607910, 10613803623206, 10613803667372, 10613842240226, 8191
10613842290225, 10613842291003, 10613842306781, 10613842323466, 10613842375576, 10613881053317, 8192
10613881133909, 10613881134594, 10613881150946, 10613881167112, 10613881220945, 10613919911982, 8191
10613919984518, 10613919985277, 10613920017444, 10613920035981, 10613920091961, 10613958634167, 8192
10613958681148, 10613958681944, 10613958696777, 10613958712481, 10613958751240, 10613997274668, 8191
10613997585775, 10613997586664, 10613997605886, 10613997622941, 10613997683459, 10614036358756, 8192
10614036450458, 10614036451292, 10614036471180, 10614036487791, 10614036545180, 10614075136199, 8191
10614075188699, 10614075189421, 10614075205291, 10614075220124, 10614075263902, 10614113823403, 8192
10614113881291, 10614113882069, 10614113898106, 10614113912643, 10614113955254, 10614152486793, 8191
10614152533459, 10614152534125, 10614152549255, 10614152564495, 10614152610013, 10614191287828, 8192
10614191373383, 10614191374365, 10614191391050, 10614191406697, 10614191470123, 10614230079290, 8191
10614230145308, 10614230146030, 10614230162308, 10614230176993, 10614230227159, 10614268950103, 8192
10614269041047, 10614269041917, 10614269059213, 10614269075139, 10614269148786, 10614307803009, 8191
10614307883434, 10614307884193, 10614307900934, 10614307917248, 10614307984340, 10614346660507, 8192
10614346741266, 10614346742043, 10614346758969, 10614346773821, 10614346829857, 10614385375859, 8191
10614385423266, 10614385424081, 10614385438766, 10614385453247, 10614385493358, 10614424055952, 8192
