muestras, tiempo(ns)
8192, 13087907
8191, 12099048
8192, 12903502
8191, 11914031
8192, 11850996
8191, 11624146
8192, 12780170
8191, 11166855
8192, 10863840
8191, 14444466
8192, 13548236
8191, 32480707
8192, 31213017
8191, 33244605
8192, 32023100
8191, 31696604
8192, 37541130
8191, 32199765
8192, 33827728
8191, 32123729
8192, 30796540
8191, 31745677
8192, 34736033
8191, 30496359
8192, 36247996
8191, 31559439
8192, 34275260
8191, 29825662
8192, 31710456
8191, 31887824
8192, 33591842
8191, 33720766
8192, 32109266
8191, 32653889
8192, 32999793
8191, 31899601
8192, 32548242
8191, 31846954
8192, 31327831
8191, 39869529
8192, 32388096
8191, 30741708
8192, 31728900
8191, 32865701
8192, 35773687
8191, 32005656
8192, 32862054
8191, 30341786
8192, 44143500
8191, 31119037
8192, 35141713
8191, 32728666
8192, 32074729
8191, 33957023
8192, 33948300
8191, 34860401
8192, 32531798
8191, 31655327
8192, 32357948
8191, 36031222
8192, 30007567
8191, 29922624
8192, 32692240
8191, 32354152
8192, 32713037
8191, 32763777
8192, 29845847
8191, 33312845
8192, 31007982
8191, 32681500
8192, 32625334
8191, 31635401
8192, 33429011
8191, 33833061
8192, 31920657
8191, 31977545
8192, 33291642
8191, 30048178
8192, 30151010
8191, 31499217
8192, 33653249
8191, 32694685
8192, 32697462
8191, 32685500
8192, 33570323
8191, 32753870
8192, 32473669
8191, 35641670
8192, 31899787
8191, 31779566
8192, 34096243
8191, 32708629
8192, 32097878
8191, 30073845
8192, 32579483
8191, 29679627
8192, 29671849
8191, 39123872
8192, 33460603
8191, 31426755
8192, 30322860
8191, 29852643
8192, 36011666
8191, 29718367
8192, 33321067
8191, 32696592
8192, 30009364
8191, 30151121
8192, 32531520
8191, 33742803
8192, 32241357
8191, 29405371
8192, 11084856
8191, 10051478
8192, 10869358
8191, 9997739
8192, 10258680
8191, 10045090
8192, 11487518
8191, 10957320
8192, 10982598
8191, 10123700
8192, 9999812
8191, 10955283
8192, 10074349
8191, 11004727
8192, 10041942
8191, 10763397
8192, 10749026
8191, 10972395
8192, 10020294
8191, 10024497
8192, 10414715
8191, 10056349
8192, 11665183
8191, 10010868
8192, 10062626
8191, 11327317
8192, 10633732
8191, 10974153
8192, 10961765
8191, 10025072
8192, 10159144
8191, 10969858
8192, 10023127
8191, 11002505
8192, 12181177
8191, 10138200
8192, 10996209
8191, 10061849
8192, 10877377
8191, 9932832
8192, 10007091
8191, 10906192
8192, 10859636
8191, 10008702
8192, 12058419
8191, 10830544
8192, 9881221
8191, 9996738
8192, 10039849
8191, 10044757
8192, 10181977
8191, 10212365
8192, 11316150
8191, 10091071
8192, 11643850
8191, 11062967
8192, 10116126
8191, 10692249
8192, 11008597
8191, 10972487
8192, 11452148
8191, 10855932
8192, 10026497
8191, 10920728
8192, 11999123
8191, 11104041
8192, 10889988
8191, 9886629
8192, 10813600
8191, 10603121
8192, 9940832
8191, 10815433
8192, 10836303
8191, 10970227
8192, 11104967
8191, 9971943
8192, 10158625
8191, 9885814
8192, 10831563
8191, 9912221
8192, 10834044
8191, 9888592
8192, 10050164
8191, 10126200
8192, 9985628
8191, 11243280
8192, 10996024
8191, 10058349
8192, 10896173
8191, 10016424
8192, 10423270
8191, 10029793
8192, 11981624
8191, 10214070
8192, 10246088
8191, 10093237
8192, 10574028
8191, 10688082
8192, 11011134
8191, 10039701
8192, 11323038
8191, 10313253
8192, 10739323
8191, 11341742
8192, 11379779
8191, 10989635
8192, 12125270
8191, 10971283
8192, 10956598
8191, 10059571
8192, 10974523
8191, 10876562
8192, 10037942
8191, 10032461
8192, 10963394
8191, 10967709
8192, 11544387
8191, 10034942
8192, 12127511
8191, 11130818
8192, 10996042
8191, 11041671
8192, 11005375
8191, 10627009
8192, 10902192
8191, 10968450
8192, 11289168
8191, 10959561
8192, 11428389
8191, 10046294
8192, 11984753
8191, 10829229
8192, 9881111
8191, 10009146
8192, 10905895
8191, 9929518
8192, 11117059
8191, 9938147
8192, 9989591
8191, 10876155
8192, 9893055
8191, 9882592
8192, 10817952
8191, 9869055
8192, 10143422
8191, 10994894
8192, 10869710
8191, 9903147
8192, 9882351
8191, 9879666
8192, 9875036
8191, 9893147
8192, 9881814
8191, 9877296
8192, 12249324
8191, 11244446
8192, 11021394
8191, 11053671
8192, 9941443
8191, 11127041
8192, 11987179
8191, 9885073
8192, 11618479
8191, 10782007
8192, 12247509
8191, 10074460
8192, 12057178
8191, 10857506
8192, 10015701
8191, 10071516
8192, 10891210
8191, 12000697
8192, 11101800
8191, 10829692
8192, 9885722
8191, 9874777
8192, 10956968
8191, 11444537
8192, 11801459
8191, 10839914
8192, 9880591
8191, 10951468
8192, 10135330
8191, 9905962
8192, 9872573
8191, 9885092
8192, 10811748
8191, 9884611
8192, 10811563
8191, 10128126
8192, 10764248
8191, 10841174
8192, 10966987
8191, 11018727
8192, 12000476
8191, 11894088
8192, 9885017
8191, 10847377
8192, 10831378
8191, 9876536
8192, 10125219
8191, 10086034
8192, 10347994
8191, 10807248
8192, 10701990
8191, 10067738
8192, 10009146
8191, 10921895
8192, 10954820
8191, 11976735
8192, 10233422
8191, 11389779
8192, 10825118
8191, 9938572
8192, 11621423
8191, 12001476
8192, 9902536
8191, 10984172
8192, 11316261
8191, 11272835
8192, 10890802
8191, 9921184
8192, 10011738
8191, 9984146
8192, 10847970
8191, 10050275
8192, 10819877
8191, 11977642
8192, 10864933
8191, 11448852
8192, 10874655
8191, 11086763
8192, 9875332
8191, 10828266
8192, 10562566
8191, 9879110
8192, 11974734
8191, 12010216
8192, 9901924
8191, 10140163
8192, 11104004
8191, 10955857
8192, 9924406
8191, 11804681
8192, 9873055
8191, 10727915
8192, 10536066
8191, 11141374
8192, 10843099
8191, 12084770
8192, 9958035
8191, 10843525
8192, 10811970
8191, 11839792
8192, 9932239
8191, 9882388
8192, 10988857
8191, 11857125
8192, 10280753
8191, 12301972
8192, 11724571
8191, 10093681
8192, 10121070
8191, 11277910
8192, 11209725
8191, 11063578
8192, 11036949
8191, 11270206
8192, 12283195
8191, 12169548
8192, 10154441
8191, 12277454
8192, 11219040
8191, 11249687
8192, 10830322
8191, 12576931
8192, 10507825
8191, 11105966
8192, 10844766
8191, 11301705
8192, 11115671
8191, 11449148
8192, 10198069
8191, 11321186
8192, 11002560
8191, 10707527
8192, 12265509
8191, 10146107
8192, 10574417
8191, 11141984
8192, 11167058
8191, 11242391
8192, 10852895
8191, 11119708
8192, 11993994
8191, 11299686
8192, 12223565
8191, 10183292
8192, 11074560
8191, 10547140
8192, 10094441
8191, 11077893
8192, 10320049
8191, 10074719
8192, 11035246
8191, 11102541
8192, 11060837
8191, 10400845
8192, 11143152
8191, 10907784
8192, 10836822
8191, 11520666
8192, 11299039
8191, 10469937
8192, 10224310
8191, 10148015
8192, 11348482
8191, 10993986
8192, 11049023
8191, 11802699
8192, 11079041
8191, 10895081
8192, 12217658
8191, 11603424
8192, 10867118
8191, 10141459
8192, 11063116
8191, 11219058
8192, 10462048
8191, 10743342
8192, 11563129
8191, 10149052
8192, 10742156
8191, 10317031
8192, 10983858
8191, 10921672
8192, 10143496
8191, 11077505
8192, 12104381
8191, 10202959
8192, 12240250
8191, 11031171
8192, 10717342
8191, 10977616
8192, 11814847
8191, 11074060
8192, 10107034
8191, 11032912
8192, 11024412
8191, 10121052
8192, 12269769
8191, 12323157
8192, 10632195
8191, 11266076
8192, 11019135
8191, 11052153
8192, 11094449
8191, 11651924
8192, 11412223
8191, 13226684
8192, 15642175
8191, 11018690
8192, 11563610
8191, 12189936
8192, 12163510
8191, 11024060
8192, 30576173
8191, 32711259
8192, 32710055
8191, 32148007
8192, 36273608
8191, 31584253
8192, 32379300
8191, 32761444
8192, 32737610
8191, 32531279
8192, 36274848
8191, 32777536
8192, 33896282
8191, 30665523
8192, 32564575
8191, 32008915
8192, 33052718
8191, 30816299
8192, 32233487
8191, 32159154
8192, 36235979
8191, 32742555
8192, 34514183
8191, 30583357
8192, 29940105
8191, 32268172
8192, 31762122
8191, 32738406
8192, 30658708
8191, 32697722
8192, 33786803
8191, 32726759
8192, 33109366
8191, 32658426
8192, 36182349
8191, 32742166
8192, 33706488
8191, 33750673
8192, 32135710
8191, 31605290
8192, 32833721
8191, 32867461
8192, 30490359
8191, 35024289
8192, 30720670
8191, 33586823
8192, 32888850
8191, 32043878
8192, 36378644
8191, 31532995
8192, 31964805
8191, 33946430
8192, 44933546
8191, 69458177
8192, 70769309
8191, 68957127
8192, 59655825
8191, 69324011
8192, 64378160
8191, 75835845
8192, 38926392
8191, 31296312
8192, 41167793
8191, 32336522
8192, 34195298
16383, 67094148
8192, 32893165
16383, 81885961
8192, 37959958
8191, 31969119
16383, 64193644
8192, 33476084
16383, 64442289
8192, 31617679
16383, 70579738
8192, 31744955
8191, 32577816
8192, 32571168
16383, 63274783
8192, 32521780
16383, 63356227
8192, 33427640
16383, 48060863
8192, 13986212
8191, 11795440
16383, 23524974
16383, 24016061
8192, 10909932
8191, 12172992
8192, 10683138
8191, 11171706
16383, 23088590
16383, 22228841
8192, 11234243
16383, 21679570
16383, 24391650
16383, 24715646
16383, 30161695
16383, 23674806
8192, 11890217
16383, 24888885
16383, 22470819
8192, 11264298
16383, 24897829
16383, 30204695
16383, 37140357
8192, 10695045
16383, 32813109
16383, 30457396
8192, 19034136
8191, 22303043
8192, 16079855
8191, 12486617
8192, 12654875
8191, 11360520
8192, 11707720
8191, 10675471
8192, 11842570
8191, 11691534
8192, 12388155
8191, 11911772
8192, 11519555
8191, 11034449
8192, 12420766
8191, 12005327
8192, 11129188
8191, 10682342
8192, 12786152
8191, 11164336
8192, 11337316
8191, 11353057
8192, 11168985
8191, 11689979
8192, 12318713
8191, 10949265
8192, 11933328
8191, 10235681
8192, 11089597
8191, 11081244
8192, 11093096
8191, 11055357
8192, 10997875
8191, 11909698
8192, 10700527
8191, 11644831
8192, 11705682
8191, 10985746
8192, 11195873
8191, 12003512
8192, 18593808
8191, 40164527
8192, 33095143
8191, 34863531
8192, 36852638
8191, 34060022
8192, 36567697
8191, 32478669
8192, 36412088
8191, 33751377
8192, 34591812
8191, 34445832
8192, 31485014
8191, 32836387
8192, 44134889
8191, 36312940
8192, 37404243
8191, 52028299
8192, 80003797
8191, 34286371
8192, 35280026
8191, 33018811
8192, 33443269
8191, 33140365
8192, 31848639
8191, 34885049
8192, 32028952
8191, 31530772
8192, 31240313
8191, 36045036
8192, 33928004
8191, 35275896
8192, 32330375
8191, 34841309
8192, 36677214
8191, 35372081
8192, 33535879
8191, 45642428
8192, 36262700
8191, 58949999
8192, 39510237
8191, 40264803
8192, 39023391
8191, 33673211
8192, 34885123
8191, 32639520
8192, 51325770
8191, 59897080
8192, 67649993
8191, 68494946
8192, 67357718
8191, 70513645
8192, 81997497
8191, 80888769
8192, 66108696
8191, 69856598
8192, 33437695
8191, 45686779
8192, 69139235
8191, 72647103
8192, 65233206
8191, 41987302
8192, 35642726
8191, 40061842
8192, 32749963
8191, 33171087
8192, 32848183
8191, 32291746
8192, 32702944
8191, 42608610
8192, 69302548
8191, 37011525
8192, 32197006
8191, 34732903
8192, 32289986
8191, 34265056
8192, 32006193
8191, 12163436
8192, 12666024
8191, 11291706
8192, 11154059
8191, 10786637
8192, 11801792
8191, 12019253
8192, 11051097
8191, 21232019
8192, 33633416
8191, 34419870
8192, 32751777
8191, 34509295
8192, 56620415
8191, 47446907
8192, 32837536
8191, 34139021
8192, 37093802
8191, 32846035
8192, 32779999
8191, 32520669
8192, 33481269
8191, 31759918
8192, 31380886
8191, 41723786
8192, 31535698
8191, 31323756
8192, 32959534
8191, 33285531
8192, 32789350
8191, 38265289
8192, 53692466
8191, 34476591
8192, 38107142
8191, 34686922
8192, 32266116
8191, 42662017
8192, 33601268
8191, 36420847
8192, 31300997
8191, 32535558
8192, 33823079
8191, 32751851
8192, 30897984
8191, 32586038
8192, 31580143
8191, 48303212
8192, 64660897
8191, 51776710
8192, 33793229
8191, 45644650
8192, 68653889
8191, 32891906
8192, 54392940
8191, 52965344
8192, 32210506
8191, 38521379
8192, 34426981
8191, 31521958
8192, 53381321
8191, 44744215
8192, 32772110
8191, 63185580
8192, 81828499
8191, 35494765
8192, 36573753
8191, 35149232
16383, 62839085
8192, 35526616
8191, 47223317
8192, 34987955
8191, 33704007
