muestras, tiempo(ns)
8192, 3423352
8191, 4578007
8192, 7309089
16383, 11793078
8192, 10125558
8191, 4546840
16383, 9338956
8192, 4996965
8191, 4509656
8192, 5624736
8191, 5746883
8192, 6079065
8191, 4259547
8192, 4286676
16383, 8644686
8192, 4408972
16383, 8856498
8192, 4642395
8191, 4463174
16383, 9038515
8192, 4335917
16383, 8446929
8192, 6149805
16383, 8368670
8192, 4307139
16383, 8889128
8192, 5143389
16383, 14072572
8192, 6488708
16383, 8654630
8192, 21408902
8191, 6998907
8192, 4740450
8191, 4540859
8192, 5048169
16383, 9007515
8192, 4690135
8191, 4630673
8192, 5033373
8191, 4190474
8192, 4242288
8191, 4825300
8192, 4570914
8191, 4174808
8192, 5112390
8191, 4627525
8192, 4982928
8191, 4675635
8192, 4273769
8191, 4190696
8192, 4603099
8191, 4509248
8192, 4019217
8191, 4105660
8192, 4674783
8191, 5221426
8192, 4917911
8191, 4582618
8192, 4484323
8191, 4956892
8192, 4403731
8191, 4202530
8192, 4380546
8191, 4064901
8192, 4158178
8191, 4617136
8192, 4105864
8191, 4098623
8192, 4150234
8191, 4213807
8192, 4369102
8191, 4077475
8192, 4269362
8191, 3989420
8192, 4002049
8191, 3991106
8192, 3955310
8191, 3958254
8192, 3964161
8191, 3949902
8192, 3981273
8191, 4021994
8192, 3958050
8191, 3980087
8192, 3981735
8191, 4030142
8192, 3983958
8191, 3950699
8192, 3956366
8191, 3954069
8192, 3951087
8191, 3947847
8192, 3947143
8191, 3942792
8192, 3997050
8191, 3973050
8192, 3966828
8191, 3971458
8192, 3965272
8191, 3936680
8192, 3980920
8191, 3979939
8192, 4698653
8191, 4170955
8192, 4259159
8191, 13799964
8192, 4175715
8191, 4051845
8192, 3987310
8191, 3967180
8192, 3958976
8191, 3965976
8192, 3977846
8191, 3943143
8192, 3944513
8191, 3939328
8192, 3933587
8191, 3944847
8192, 4005809
8191, 3960494
8192, 3950957
8191, 3941846
8192, 3954235
8191, 3937662
8192, 4021438
8191, 3989143
8192, 4015791
8191, 4114067
